condition,seed,agent,time_sec,phase_rad
shared,15138832,12,9.000000,0.251353
shared,15138832,13,9.000000,0.251353
shared,15138832,14,9.000000,0.251353
shared,15138832,16,9.000000,0.251353
shared,15138832,17,9.000000,0.251353
shared,15138832,18,9.000000,0.251353
shared,15138832,19,9.000000,0.251353
shared,15138832,20,9.000000,0.251353
shared,15138832,21,9.000000,0.251353
shared,15138832,22,9.000000,0.251353
shared,15138832,24,9.000000,0.251353
shared,15138832,25,9.000000,0.251353
shared,15138832,26,9.000000,0.251353
shared,15138832,27,9.000000,0.251353
shared,15138832,29,9.000000,0.251353
shared,15138832,30,9.000000,0.251353
shared,15138832,31,9.000000,0.251353
shared,15138832,15,9.020000,0.502681
shared,15138832,23,9.020000,0.502681
shared,15138832,28,9.020000,0.502681
shared,15138832,0,9.500000,0.251355
shared,15138832,1,9.500000,0.251355
shared,15138832,2,9.500000,0.251355
shared,15138832,3,9.500000,0.251355
shared,15138832,4,9.500000,0.251355
shared,15138832,5,9.500000,0.251355
shared,15138832,6,9.500000,0.251355
shared,15138832,7,9.500000,0.251355
shared,15138832,8,9.500000,0.251355
shared,15138832,9,9.500000,0.251355
shared,15138832,10,9.500000,0.251355
shared,15138832,11,9.500000,0.251355
shared,15138832,12,9.500000,0.251355
shared,15138832,13,9.500000,0.251355
shared,15138832,14,9.500000,0.251355
shared,15138832,16,9.500000,0.251355
shared,15138832,17,9.500000,0.251355
shared,15138832,18,9.500000,0.251355
shared,15138832,19,9.500000,0.251355
shared,15138832,20,9.500000,0.251355
shared,15138832,21,9.500000,0.251355
shared,15138832,22,9.500000,0.251355
shared,15138832,24,9.500000,0.251355
shared,15138832,25,9.500000,0.251355
shared,15138832,26,9.500000,0.251355
shared,15138832,27,9.500000,0.251355
shared,15138832,29,9.500000,0.251355
shared,15138832,30,9.500000,0.251355
shared,15138832,31,9.500000,0.251355
shared,15138832,15,9.520000,0.502682
shared,15138832,23,9.520000,0.502682
shared,15138832,28,9.520000,0.502682
shared,15138832,0,10.000000,0.251356
shared,15138832,1,10.000000,0.251356
shared,15138832,2,10.000000,0.251356
shared,15138832,3,10.000000,0.251356
shared,15138832,4,10.000000,0.251356
shared,15138832,5,10.000000,0.251356
shared,15138832,6,10.000000,0.251356
shared,15138832,7,10.000000,0.251356
shared,15138832,8,10.000000,0.251356
shared,15138832,9,10.000000,0.251356
shared,15138832,10,10.000000,0.251356
shared,15138832,11,10.000000,0.251356
shared,15138832,12,10.000000,0.251356
shared,15138832,13,10.000000,0.251356
shared,15138832,14,10.000000,0.251356
shared,15138832,16,10.000000,0.251356
shared,15138832,17,10.000000,0.251356
shared,15138832,18,10.000000,0.251356
shared,15138832,19,10.000000,0.251356
shared,15138832,20,10.000000,0.251356
shared,15138832,21,10.000000,0.251356
shared,15138832,22,10.000000,0.251356
shared,15138832,24,10.000000,0.251356
shared,15138832,25,10.000000,0.251356
shared,15138832,26,10.000000,0.251356
shared,15138832,27,10.000000,0.251356
shared,15138832,29,10.000000,0.251356
shared,15138832,30,10.000000,0.251356
shared,15138832,31,10.000000,0.251356
shared,15138832,15,10.020000,0.502683
shared,15138832,23,10.020000,0.502683
shared,15138832,28,10.020000,0.502683
shared,15138832,0,10.500000,0.251357
shared,15138832,1,10.500000,0.251357
shared,15138832,2,10.500000,0.251357
shared,15138832,3,10.500000,0.251357
shared,15138832,4,10.500000,0.251357
shared,15138832,5,10.500000,0.251357
shared,15138832,6,10.500000,0.251357
shared,15138832,7,10.500000,0.251357
shared,15138832,8,10.500000,0.251357
shared,15138832,9,10.500000,0.251357
shared,15138832,10,10.500000,0.251357
shared,15138832,11,10.500000,0.251357
shared,15138832,12,10.500000,0.251357
shared,15138832,13,10.500000,0.251357
shared,15138832,14,10.500000,0.251357
shared,15138832,16,10.500000,0.251357
shared,15138832,17,10.500000,0.251357
shared,15138832,18,10.500000,0.251357
shared,15138832,19,10.500000,0.251357
shared,15138832,20,10.500000,0.251357
shared,15138832,21,10.500000,0.251357
shared,15138832,22,10.500000,0.251357
shared,15138832,24,10.500000,0.251357
shared,15138832,25,10.500000,0.251357
shared,15138832,26,10.500000,0.251357
shared,15138832,27,10.500000,0.251357
shared,15138832,29,10.500000,0.251357
shared,15138832,30,10.500000,0.251357
shared,15138832,31,10.500000,0.251357
shared,15138832,15,10.520000,0.502685
shared,15138832,23,10.520000,0.502685
shared,15138832,28,10.520000,0.502685
shared,15138832,0,11.000000,0.251359
shared,15138832,1,11.000000,0.251359
shared,15138832,2,11.000000,0.251359
shared,15138832,3,11.000000,0.251359
shared,15138832,4,11.000000,0.251359
shared,15138832,5,11.000000,0.251359
shared,15138832,6,11.000000,0.251359
shared,15138832,7,11.000000,0.251359
shared,15138832,8,11.000000,0.251359
shared,15138832,9,11.000000,0.251359
shared,15138832,10,11.000000,0.251359
shared,15138832,11,11.000000,0.251359
shared,15138832,12,11.000000,0.251359
shared,15138832,13,11.000000,0.251359
shared,15138832,14,11.000000,0.251359
shared,15138832,16,11.000000,0.251359
shared,15138832,17,11.000000,0.251359
shared,15138832,18,11.000000,0.251359
shared,15138832,19,11.000000,0.251359
shared,15138832,20,11.000000,0.251359
shared,15138832,21,11.000000,0.251359
shared,15138832,22,11.000000,0.251359
shared,15138832,24,11.000000,0.251359
shared,15138832,25,11.000000,0.251359
shared,15138832,26,11.000000,0.251359
shared,15138832,27,11.000000,0.251359
shared,15138832,29,11.000000,0.251359
shared,15138832,30,11.000000,0.251359
shared,15138832,31,11.000000,0.251359
shared,15138832,15,11.020000,0.502686
shared,15138832,23,11.020000,0.502686
shared,15138832,28,11.020000,0.502686
shared,15138832,0,11.500000,0.251360
shared,15138832,1,11.500000,0.251360
shared,15138832,2,11.500000,0.251360
shared,15138832,3,11.500000,0.251360
shared,15138832,4,11.500000,0.251360
shared,15138832,5,11.500000,0.251360
shared,15138832,6,11.500000,0.251360
shared,15138832,7,11.500000,0.251360
shared,15138832,8,11.500000,0.251360
shared,15138832,9,11.500000,0.251360
shared,15138832,10,11.500000,0.251360
shared,15138832,11,11.500000,0.251360
shared,15138832,12,11.500000,0.251360
shared,15138832,13,11.500000,0.251360
shared,15138832,14,11.500000,0.251360
shared,15138832,16,11.500000,0.251360
shared,15138832,17,11.500000,0.251360
shared,15138832,18,11.500000,0.251360
shared,15138832,19,11.500000,0.251360
shared,15138832,20,11.500000,0.251360
shared,15138832,21,11.500000,0.251360
shared,15138832,22,11.500000,0.251360
shared,15138832,24,11.500000,0.251360
shared,15138832,25,11.500000,0.251360
shared,15138832,26,11.500000,0.251360
shared,15138832,27,11.500000,0.251360
shared,15138832,29,11.500000,0.251360
shared,15138832,30,11.500000,0.251360
shared,15138832,31,11.500000,0.251360
shared,15138832,15,11.520000,0.502688
shared,15138832,23,11.520000,0.502688
shared,15138832,28,11.520000,0.502688
