agent_id,step,semitone_before,semitone_after,delta_semitones
8,85,-17.783180,-17.723179,0.060001
8,87,-17.723179,-17.663177,0.060001
8,89,-17.663177,-17.873182,-0.210005
8,91,-17.873182,-17.843182,0.030001
8,93,-17.843182,-17.933178,-0.089996
8,95,-17.933178,-18.023180,-0.090002
8,97,-18.023180,-18.053181,-0.030001
9,2,-23.753180,-23.723179,0.030001
9,4,-23.723179,-23.933178,-0.209999
9,6,-23.933178,-23.783180,0.149998
9,8,-23.783180,-23.993179,-0.209999
9,10,-23.993179,-23.963179,0.030001
9,14,-23.963179,-23.993179,-0.030001
9,22,-23.993179,-23.903183,0.089996
9,24,-23.903183,-23.813181,0.090002
9,26,-23.813181,-23.873182,-0.060001
9,28,-23.873182,-23.963179,-0.089996
9,30,-23.963179,-23.723179,0.240000
9,34,-23.723179,-23.603182,0.119997
9,38,-23.603182,-23.363182,0.240000
9,40,-23.363182,-23.183178,0.180004
9,42,-23.183178,-23.393177,-0.209999
9,44,-23.393177,-23.453178,-0.060001
9,48,-23.453178,-23.573181,-0.120003
9,50,-23.573181,-23.813181,-0.240000
9,52,-23.813181,-23.993179,-0.179998
9,54,-23.993179,-23.963179,0.030001
9,56,-23.963179,-23.993179,-0.030001
9,62,-23.993179,-23.783180,0.209999
9,64,-23.783180,-23.903183,-0.120003
9,66,-23.903183,-23.993179,-0.089996
9,68,-23.993179,-23.903183,0.089996
9,70,-23.903183,-23.993179,-0.089996
9,74,-23.993179,-23.963179,0.030001
9,76,-23.963179,-23.873182,0.089996
9,78,-23.873182,-23.783180,0.090002
9,80,-23.783180,-23.903183,-0.120003
9,82,-23.903183,-23.663177,0.240005
9,84,-23.663177,-23.813181,-0.150003
9,86,-23.813181,-23.843182,-0.030001
9,88,-23.843182,-23.993179,-0.149998
9,90,-23.993179,-23.903183,0.089996
9,92,-23.903183,-23.693178,0.210005
9,94,-23.693178,-23.453178,0.240000
9,96,-23.453178,-23.423183,0.029995
9,98,-23.423183,-23.333181,0.090002
10,1,-5.753180,-5.873177,-0.119997
10,3,-5.873177,-5.663177,0.209999
10,5,-5.663177,-5.633183,0.029995
10,7,-5.633183,-5.723179,-0.089996
10,9,-5.723179,-5.603182,0.119997
10,11,-5.603182,-5.783180,-0.179998
10,13,-5.783180,-5.723179,0.060001
10,15,-5.723179,-5.753180,-0.030001
10,17,-5.753180,-5.693184,0.059996
10,19,-5.693184,-5.933178,-0.239994
10,21,-5.933178,-5.903183,0.029995
10,23,-5.903183,-6.143177,-0.239994
10,25,-6.143177,-6.383183,-0.240005
10,27,-6.383183,-6.563181,-0.179998
10,29,-6.563181,-6.743179,-0.179998
10,31,-6.743179,-6.803181,-0.060001
10,33,-6.803181,-6.593182,0.209999
10,35,-6.593182,-6.803181,-0.209999
10,37,-6.803181,-6.623177,0.180004
10,39,-6.623177,-6.743179,-0.120003
10,41,-6.743179,-6.773180,-0.030001
10,43,-6.773180,-6.533180,0.240000
10,45,-6.533180,-6.443184,0.089996
10,47,-6.443184,-6.263180,0.180004
10,49,-6.263180,-6.503180,-0.240000
10,51,-6.503180,-6.653183,-0.150003
10,53,-6.653183,-6.743179,-0.089996
10,55,-6.743179,-6.803181,-0.060001
10,59,-6.803181,-6.953178,-0.149998
10,61,-6.953178,-6.803181,0.149998
10,63,-6.803181,-6.563181,0.240000
10,65,-6.563181,-6.773180,-0.209999
10,67,-6.773180,-6.653183,0.119997
10,69,-6.653183,-6.443184,0.209999
10,71,-6.443184,-6.653183,-0.209999
10,73,-6.653183,-6.413177,0.240005
10,75,-6.413177,-6.383183,0.029995
10,77,-6.383183,-6.263180,0.120003
10,79,-6.263180,-6.383183,-0.120003
10,81,-6.383183,-6.263180,0.120003
10,83,-6.263180,-6.353182,-0.090002
10,85,-6.353182,-6.563181,-0.209999
10,89,-6.563181,-6.533180,0.030001
10,91,-6.533180,-6.503180,0.030001
10,93,-6.503180,-6.443184,0.059996
10,95,-6.443184,-6.623177,-0.179993
10,97,-6.623177,-6.473179,0.149998
10,99,-6.473179,-6.413177,0.060001
11,2,17.736820,17.856823,0.120003
11,4,17.856823,17.886818,0.029995
11,6,17.886818,17.646824,-0.239994
11,8,17.646824,17.556816,-0.090008
11,10,17.556816,17.406818,-0.149998
11,12,17.406818,17.316822,-0.089996
11,14,17.316822,17.556816,0.239994
