condition,seed,life_id,agent_id,birth_step,death_step,lifetime_steps,spawn_c_score,spawn_c_level,step1_c_score,step1_c_level,step10_c_score,step10_c_level,step100_c_score,step100_c_level
heredity,12648490,18,18,0,1411,1411,0.000000,0.000000,0.066828,0.533364,0.066828,0.533364,0.066828,0.533364
heredity,12648490,8,8,0,1414,1414,0.000000,0.000000,0.026474,0.513087,0.026474,0.513087,0.026474,0.513087
heredity,12648490,15,15,0,1426,1426,0.000000,0.000000,0.083609,0.541699,0.083609,0.541699,0.083609,0.541699
heredity,12648490,13,13,0,1433,1433,0.000000,0.000000,0.061713,0.530681,0.061713,0.530681,0.061713,0.530681
heredity,12648490,0,0,0,1435,1435,0.000000,0.000000,0.042496,0.521231,0.042496,0.521231,0.042496,0.521231
heredity,12648490,22,22,0,1452,1452,0.000000,0.000000,0.080142,0.539880,0.080142,0.539880,0.080142,0.539880
heredity,12648490,7,7,0,1464,1464,0.000000,0.000000,0.085920,0.542854,0.085920,0.542854,0.085920,0.542854
heredity,12648490,9,9,0,1480,1480,0.000000,0.000000,0.089842,0.544799,0.089842,0.544799,0.089842,0.544799
heredity,12648490,3,3,0,1515,1515,0.000000,0.000000,0.148467,0.573236,0.148467,0.573236,0.148467,0.573236
heredity,12648490,4,4,0,1618,1618,0.000000,0.000000,0.211840,0.602069,0.211840,0.602069,0.211840,0.602069
heredity,12648490,32,29,1340,2945,1605,0.236139,0.615923,0.236139,0.615923,0.236139,0.615923,0.236139,0.615923
heredity,12648490,33,30,1340,2945,1605,0.236139,0.615923,0.236139,0.615923,0.236139,0.615923,0.236139,0.615923
heredity,12648490,34,16,1344,3008,1664,0.236139,0.615923,0.236139,0.615923,0.236139,0.615923,0.236139,0.615923
heredity,12648490,41,28,1361,3037,1676,0.248712,0.621854,0.248712,0.621854,0.248712,0.621854,0.248712,0.621854
heredity,12648490,58,0,1436,3045,1609,0.236139,0.615923,0.236139,0.615923,0.236139,0.615923,0.236139,0.615923
heredity,12648490,49,23,1401,3067,1666,0.236139,0.615923,0.236139,0.615923,0.236139,0.615923,0.236139,0.615923
heredity,12648490,56,15,1427,3068,1641,0.236139,0.615923,0.236139,0.615923,0.236139,0.615923,0.236139,0.615923
heredity,12648490,61,9,1481,3136,1655,0.236139,0.615923,0.236139,0.615923,0.236139,0.615923,0.236139,0.615923
heredity,12648490,53,6,1412,3251,1839,0.387724,0.684698,0.387724,0.684698,0.387724,0.684698,0.387724,0.684698
heredity,12648490,55,8,1415,3280,1865,0.387724,0.684698,0.387724,0.684698,0.387724,0.684698,0.387724,0.684698
heredity,12648490,63,4,1619,3447,1828,0.387724,0.684698,0.387724,0.684698,0.387724,0.684698,0.387724,0.684698
heredity,12648490,37,14,1349,3458,2109,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,40,2,1361,3458,2097,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,38,19,1350,3466,2116,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,42,17,1370,3470,2100,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,44,11,1384,3495,2111,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,43,27,1382,3496,2114,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,39,12,1354,3497,2143,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,50,21,1403,3500,2097,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,47,26,1390,3506,2116,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,35,25,1347,3507,2160,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,36,5,1348,3509,2161,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,54,18,1412,3509,2097,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,45,24,1384,3521,2137,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,51,20,1406,3521,2115,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,52,1,1408,3543,2135,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,59,22,1453,3550,2097,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,48,10,1393,3552,2159,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,57,13,1434,3555,2121,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,60,7,1465,3603,2138,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,62,3,1516,3613,2097,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,46,31,1389,4237,2848,0.949244,0.869718,0.949244,0.869718,0.949244,0.869718,0.949244,0.869718
heredity,12648490,64,29,2946,5074,2128,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,65,30,2946,5074,2128,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,88,20,3522,5127,1605,0.236139,0.615923,0.236139,0.615923,0.236139,0.615923,0.236139,0.615923
heredity,12648490,67,28,3038,5135,2097,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,66,16,3009,5137,2128,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,68,0,3046,5161,2115,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,69,23,3068,5165,2097,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,70,15,3069,5166,2097,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,71,9,3137,5251,2114,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,73,8,3281,5378,2097,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,92,13,3556,5382,1826,0.387724,0.684698,0.387724,0.684698,0.387724,0.684698,0.387724,0.684698
heredity,12648490,72,6,3252,5406,2154,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,76,2,3459,5559,2100,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,75,14,3459,5572,2113,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,74,4,3448,5588,2140,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,77,19,3467,5596,2129,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,81,12,3498,5604,2106,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,79,11,3496,5612,2116,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,87,24,3522,5619,2097,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,85,5,3510,5620,2110,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,80,27,3497,5628,2131,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,86,18,3510,5641,2131,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,84,25,3508,5650,2142,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,90,22,3551,5660,2109,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,89,1,3544,5701,2157,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,91,10,3553,5711,2158,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,94,3,3614,5750,2136,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,95,31,4238,6335,2097,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,82,21,3501,6346,2845,0.949244,0.869718,0.949244,0.869718,0.949244,0.869718,0.949244,0.869718
heredity,12648490,83,26,3507,6346,2839,0.949244,0.869718,0.949244,0.869718,0.949244,0.869718,0.949244,0.869718
heredity,12648490,78,17,3471,6473,3002,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity,12648490,93,7,3604,6561,2957,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity,12648490,96,29,5075,6854,1779,0.338435,0.663039,0.338435,0.663039,0.338435,0.663039,0.338435,0.663039
heredity,12648490,98,20,5128,6881,1753,0.338435,0.663039,0.338435,0.663039,0.338435,0.663039,0.338435,0.663039
heredity,12648490,99,28,5136,6908,1772,0.338435,0.663039,0.338435,0.663039,0.338435,0.663039,0.338435,0.663039
heredity,12648490,102,23,5166,6920,1754,0.338435,0.663039,0.338435,0.663039,0.338435,0.663039,0.338435,0.663039
heredity,12648490,117,18,5642,7228,1586,0.221340,0.608897,0.221340,0.608897,0.221340,0.608897,0.221340,0.608897
heredity,12648490,101,0,5162,7264,2102,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,103,15,5167,7277,2110,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,100,16,5138,7285,2147,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,104,9,5252,7394,2142,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,105,8,5379,7476,2097,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,107,6,5407,7520,2113,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,116,27,5629,7555,1926,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648490,109,14,5573,7676,2103,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,110,4,5589,7686,2097,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,111,19,5597,7694,2097,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,112,12,5605,7702,2097,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,118,25,5651,7748,2097,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,120,1,5702,7799,2097,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,119,22,5661,7814,2153,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,97,30,5075,7922,2847,0.949244,0.869718,0.949244,0.869718,0.949244,0.869718,0.949244,0.869718
heredity,12648490,125,26,6347,8178,1831,0.387724,0.684698,0.387724,0.684698,0.387724,0.684698,0.387724,0.684698
heredity,12648490,123,31,6336,8181,1845,0.387724,0.684698,0.387724,0.684698,0.387724,0.684698,0.387724,0.684698
heredity,12648490,106,13,5383,8278,2895,0.949244,0.869718,0.949244,0.869718,0.949244,0.869718,0.949244,0.869718
heredity,12648490,108,2,5560,8407,2847,0.949244,0.869718,0.949244,0.869718,0.949244,0.869718,0.949244,0.869718
heredity,12648490,115,5,5621,8480,2859,0.949244,0.869718,0.949244,0.869718,0.949244,0.869718,0.949244,0.869718
heredity,12648490,113,11,5613,8485,2872,0.949244,0.869718,0.949244,0.869718,0.949244,0.869718,0.949244,0.869718
heredity,12648490,114,24,5620,8486,2866,0.949244,0.869718,0.949244,0.869718,0.949244,0.869718,0.949244,0.869718
heredity,12648490,122,3,5751,8589,2838,0.949244,0.869718,0.949244,0.869718,0.949244,0.869718,0.949244,0.869718
heredity,12648490,126,17,6474,8608,2134,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,121,10,5712,8649,2937,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity,12648490,129,20,6882,8997,2115,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,130,28,6909,9012,2103,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,124,21,6347,9288,2941,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity,12648490,132,18,7229,9376,2147,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,134,15,7278,9414,2136,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,135,16,7286,9436,2150,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,127,7,6562,9499,2937,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity,12648490,146,22,7815,9634,1819,0.387724,0.684698,0.387724,0.684698,0.387724,0.684698,0.387724,0.684698
heredity,12648490,128,29,6855,9753,2898,0.949244,0.869718,0.949244,0.869718,0.949244,0.869718,0.949244,0.869718
heredity,12648490,131,23,6921,9759,2838,0.949244,0.869718,0.949244,0.869718,0.949244,0.869718,0.949244,0.869718
heredity,12648490,140,14,7677,9801,2124,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,142,19,7695,9810,2115,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,141,4,7687,9840,2153,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,144,25,7749,9871,2122,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648490,145,1,7800,9947,2147,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957,0.557226,0.752957
heredity,12648491,4,4,0,1339,1339,0.000000,0.000000,0.000001,0.500000,0.000001,0.500000,0.000001,0.500000
heredity,12648491,5,5,0,1339,1339,0.000000,0.000000,0.000000,0.500000,0.000000,0.500000,0.000000,0.500000
heredity,12648491,1,1,0,1341,1341,0.000000,0.000000,0.000735,0.500368,0.000735,0.500368,0.000735,0.500368
heredity,12648491,18,18,0,1341,1341,0.000000,0.000000,0.002375,0.501187,0.002375,0.501187,0.002375,0.501187
heredity,12648491,2,2,0,1348,1348,0.000000,0.000000,0.009163,0.504581,0.009163,0.504581,0.009163,0.504581
heredity,12648491,24,24,0,1348,1348,0.000000,0.000000,0.009840,0.504919,0.009840,0.504919,0.009840,0.504919
heredity,12648491,13,13,0,1353,1353,0.000000,0.000000,0.000000,0.500000,0.000000,0.500000,0.000000,0.500000
heredity,12648491,15,15,0,1353,1353,0.000000,0.000000,0.014844,0.507420,0.014844,0.507420,0.014844,0.507420
heredity,12648491,29,29,0,1363,1363,0.000000,0.000000,0.024978,0.512298,0.024978,0.512298,0.024978,0.512298
heredity,12648491,16,16,0,1369,1369,0.000000,0.000000,0.022121,0.511058,0.022121,0.511058,0.022121,0.511058
heredity,12648491,22,22,0,1376,1376,0.000000,0.000000,0.021094,0.510539,0.021094,0.510539,0.021094,0.510539
heredity,12648491,23,23,0,1378,1378,0.000000,0.000000,0.039257,0.519618,0.039257,0.519618,0.039257,0.519618
heredity,12648491,10,10,0,1379,1379,0.000000,0.000000,0.040959,0.520467,0.040959,0.520467,0.040959,0.520467
heredity,12648491,26,26,0,1381,1381,0.000000,0.000000,0.036789,0.518385,0.036789,0.518385,0.036789,0.518385
heredity,12648491,0,0,0,1389,1389,0.000000,0.000000,0.040170,0.520074,0.040170,0.520074,0.040170,0.520074
heredity,12648491,11,11,0,1392,1392,0.000000,0.000000,0.000000,0.500000,0.000000,0.500000,0.000000,0.500000
heredity,12648491,28,28,0,1406,1406,0.000000,0.000000,0.050605,0.525271,0.050605,0.525271,0.050605,0.525271
heredity,12648491,7,7,0,1411,1411,0.000000,0.000000,0.022574,0.511284,0.022574,0.511284,0.022574,0.511284
heredity,12648491,9,9,0,1414,1414,0.000000,0.000000,0.069585,0.534680,0.069585,0.534680,0.069585,0.534680
heredity,12648491,14,14,0,1426,1426,0.000000,0.000000,0.072043,0.535954,0.072043,0.535954,0.072043,0.535954
heredity,12648491,3,3,0,1430,1430,0.000000,0.000000,0.055190,0.527565,0.055190,0.527565,0.055190,0.527565
heredity,12648491,31,31,0,1433,1433,0.000000,0.000000,0.083983,0.541893,0.083983,0.541893,0.083983,0.541893
heredity,12648491,17,17,0,1436,1436,0.000000,0.000000,0.034255,0.517107,0.034255,0.517107,0.034255,0.517107
heredity,12648491,6,6,0,1464,1464,0.000000,0.000000,0.065848,0.532851,0.065848,0.532851,0.065848,0.532851
heredity,12648491,30,30,0,1482,1482,0.000000,0.000000,0.113636,0.556542,0.113636,0.556542,0.113636,0.556542
heredity,12648491,27,27,0,1483,1483,0.000000,0.000000,0.102935,0.550752,0.102935,0.550752,0.102935,0.550752
heredity,12648491,20,20,0,1490,1490,0.000000,0.000000,0.143863,0.570950,0.143863,0.570950,0.143863,0.570950
heredity,12648491,19,19,0,1505,1505,0.000000,0.000000,0.131767,0.564407,0.131767,0.564407,0.131767,0.564407
heredity,12648491,25,25,0,1556,1556,0.000000,0.000000,0.146998,0.572220,0.146998,0.572220,0.146998,0.572220
heredity,12648491,12,12,0,1621,1621,0.000000,0.000000,0.198428,0.597538,0.198428,0.597538,0.198428,0.597538
heredity,12648491,8,8,0,1667,1667,0.000000,0.000000,0.268419,0.627254,0.268419,0.627254,0.268419,0.627254
heredity,12648491,21,21,0,1967,1967,0.000000,0.000000,0.554881,0.717354,0.554881,0.717354,0.554881,0.717354
heredity,12648491,33,5,1340,3086,1746,0.338435,0.663039,0.338435,0.663039,0.338435,0.663039,0.338435,0.663039
heredity,12648491,36,2,1349,3119,1770,0.338435,0.663039,0.338435,0.663039,0.338435,0.663039,0.338435,0.663039
heredity,12648491,40,29,1364,3144,1780,0.338435,0.663039,0.338435,0.663039,0.338435,0.663039,0.338435,0.663039
heredity,12648491,49,7,1412,3158,1746,0.338435,0.663039,0.338435,0.663039,0.338435,0.663039,0.338435,0.663039
heredity,12648491,34,1,1342,3268,1926,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,39,15,1354,3280,1926,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,37,24,1349,3283,1934,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,32,4,1340,3290,1950,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,41,16,1370,3296,1926,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,42,22,1377,3303,1926,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,44,10,1380,3306,1926,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,45,26,1382,3308,1926,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,38,13,1354,3309,1955,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,43,23,1379,3324,1945,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,35,18,1342,3328,1986,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,46,0,1390,3345,1955,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,51,14,1427,3353,1926,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,48,28,1407,3357,1950,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,53,31,1434,3360,1926,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,47,11,1393,3364,1971,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,50,9,1415,3374,1959,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,52,3,1431,3386,1955,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,57,27,1484,3412,1928,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,55,6,1465,3416,1951,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,58,20,1491,3417,1926,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,56,30,1483,3430,1947,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,59,19,1506,3476,1970,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,60,25,1557,3529,1972,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,61,12,1622,3581,1959,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,62,8,1668,3594,1926,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,63,21,1968,3940,1972,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,54,17,1437,4303,2866,0.949244,0.869718,0.949244,0.869718,0.949244,0.869718,0.949244,0.869718
heredity,12648491,64,5,3087,5021,1934,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,69,15,3281,5027,1746,0.338435,0.663039,0.338435,0.663039,0.338435,0.663039,0.338435,0.663039
heredity,12648491,70,24,3284,5035,1751,0.338435,0.663039,0.338435,0.663039,0.338435,0.663039,0.338435,0.663039
heredity,12648491,75,26,3309,5056,1747,0.338435,0.663039,0.338435,0.663039,0.338435,0.663039,0.338435,0.663039
heredity,12648491,67,7,3159,5085,1926,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,66,29,3145,5096,1951,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,65,2,3120,5110,1990,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,89,30,3431,5177,1746,0.338435,0.663039,0.338435,0.663039,0.338435,0.663039,0.338435,0.663039
heredity,12648491,68,1,3269,5195,1926,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,73,22,3304,5230,1926,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,74,10,3307,5233,1926,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,76,13,3310,5236,1926,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,71,4,3291,5246,1955,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,77,23,3325,5260,1935,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,72,16,3297,5263,1966,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,81,28,3358,5284,1926,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,82,31,3361,5287,1926,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,79,0,3346,5300,1954,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,78,18,3329,5311,1982,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,83,11,3365,5329,1964,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,85,3,3387,5330,1943,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
heredity,12648491,84,9,3375,5336,1961,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272,0.455663,0.713272
