condition,seed,life_id,agent_id,birth_step,death_step,lifetime_steps,c_level01_birth,c_level01_firstk,avg_c_level01_tick,c_level01_std_over_life,avg_c_level01_attack,attack_tick_count
heredity,12648490,86,18,3510,5641,2131,0.752957,0.752957,0.752939,0.005109,0.752957,22
heredity,12648490,84,25,3508,5650,2142,0.752957,0.752957,0.752939,0.005080,0.752957,17
heredity,12648490,90,22,3551,5660,2109,0.752957,0.752957,0.752939,0.005139,0.752957,22
heredity,12648490,89,1,3544,5701,2157,0.752957,0.752957,0.752939,0.005057,0.752957,23
heredity,12648490,91,10,3553,5711,2158,0.752957,0.752957,0.752939,0.005063,0.752957,18
heredity,12648490,94,3,3614,5750,2136,0.752957,0.752957,0.752939,0.005098,0.752957,18
heredity,12648490,95,31,4238,6335,2097,0.752957,0.752957,0.752939,0.005156,0.752957,17
heredity,12648490,82,21,3501,6346,2845,0.869718,0.869718,0.869711,0.006147,0.869718,30
heredity,12648490,83,26,3507,6346,2839,0.869718,0.869718,0.869711,0.006133,0.869718,23
heredity,12648490,78,17,3471,6473,3002,0.880776,0.880776,0.880784,0.000000,0.880776,24
heredity,12648490,93,7,3604,6561,2957,0.880776,0.880776,0.880782,0.000000,0.880776,31
heredity,12648490,96,29,5075,6854,1779,0.663039,0.663039,0.663036,0.003755,0.663039,14
heredity,12648490,98,20,5128,6881,1753,0.663039,0.663039,0.663036,0.003879,0.663039,14
heredity,12648490,99,28,5136,6908,1772,0.663039,0.663039,0.663036,0.003794,0.663039,18
heredity,12648490,102,23,5166,6920,1754,0.663039,0.663039,0.663036,0.003872,0.663039,19
heredity,12648490,117,18,5642,7228,1586,0.608897,0.608897,0.608890,0.002601,0.608897,12
heredity,12648490,101,0,5162,7264,2102,0.752957,0.752957,0.752939,0.005144,0.752957,22
heredity,12648490,103,15,5167,7277,2110,0.752957,0.752957,0.752939,0.005139,0.752957,22
heredity,12648490,100,16,5138,7285,2147,0.752957,0.752957,0.752939,0.005074,0.752957,17
heredity,12648490,104,9,5252,7394,2142,0.752957,0.752957,0.752939,0.005080,0.752957,23
heredity,12648490,105,8,5379,7476,2097,0.752957,0.752957,0.752939,0.005156,0.752957,17
heredity,12648490,107,6,5407,7520,2113,0.752957,0.752957,0.752939,0.005133,0.752957,17
heredity,12648490,116,27,5629,7555,1926,0.713272,0.713272,0.713260,0.002086,0.713272,16
heredity,12648490,109,14,5573,7676,2103,0.752957,0.752957,0.752939,0.005144,0.752957,16
heredity,12648490,110,4,5589,7686,2097,0.752957,0.752957,0.752939,0.005156,0.752957,16
heredity,12648490,111,19,5597,7694,2097,0.752957,0.752957,0.752939,0.005156,0.752957,22
heredity,12648490,112,12,5605,7702,2097,0.752957,0.752957,0.752939,0.005156,0.752957,17
heredity,12648490,118,25,5651,7748,2097,0.752957,0.752957,0.752939,0.005156,0.752957,22
heredity,12648490,120,1,5702,7799,2097,0.752957,0.752957,0.752939,0.005156,0.752957,21
heredity,12648490,119,22,5661,7814,2153,0.752957,0.752957,0.752939,0.005063,0.752957,22
heredity,12648490,97,30,5075,7922,2847,0.869718,0.869718,0.869711,0.006147,0.869718,23
heredity,12648490,125,26,6347,8178,1831,0.684698,0.684698,0.684693,0.002537,0.684698,19
heredity,12648490,123,31,6336,8181,1845,0.684698,0.684698,0.684693,0.002537,0.684698,20
heredity,12648490,106,13,5383,8278,2895,0.869718,0.869718,0.869710,0.006215,0.869718,23
heredity,12648490,108,2,5560,8407,2847,0.869718,0.869718,0.869711,0.006147,0.869718,23
heredity,12648490,115,5,5621,8480,2859,0.869718,0.869718,0.869711,0.006162,0.869718,23
heredity,12648490,113,11,5613,8485,2872,0.869718,0.869718,0.869710,0.006186,0.869718,22
heredity,12648490,114,24,5620,8486,2866,0.869718,0.869718,0.869710,0.006176,0.869718,30
heredity,12648490,122,3,5751,8589,2838,0.869718,0.869718,0.869711,0.006128,0.869718,22
heredity,12648490,126,17,6474,8608,2134,0.752957,0.752957,0.752939,0.005098,0.752957,18
heredity,12648490,121,10,5712,8649,2937,0.880776,0.880776,0.880782,0.000000,0.880776,31
heredity,12648490,129,20,6882,8997,2115,0.752957,0.752957,0.752939,0.005127,0.752957,16
heredity,12648490,130,28,6909,9012,2103,0.752957,0.752957,0.752939,0.005144,0.752957,22
heredity,12648490,124,21,6347,9288,2941,0.880776,0.880776,0.880782,0.000000,0.880776,31
heredity,12648490,132,18,7229,9376,2147,0.752957,0.752957,0.752939,0.005074,0.752957,17
heredity,12648490,134,15,7278,9414,2136,0.752957,0.752957,0.752939,0.005098,0.752957,16
heredity,12648490,135,16,7286,9436,2150,0.752957,0.752957,0.752939,0.005068,0.752957,23
heredity,12648490,127,7,6562,9499,2937,0.880776,0.880776,0.880782,0.000000,0.880776,31
heredity,12648490,146,22,7815,9634,1819,0.684698,0.684698,0.684693,0.002537,0.684698,15
heredity,12648490,128,29,6855,9753,2898,0.869718,0.869718,0.869709,0.006224,0.869718,24
heredity,12648490,131,23,6921,9759,2838,0.869718,0.869718,0.869711,0.006128,0.869718,22
heredity,12648490,140,14,7677,9801,2124,0.752957,0.752957,0.752939,0.005109,0.752957,23
heredity,12648490,142,19,7695,9810,2115,0.752957,0.752957,0.752939,0.005127,0.752957,21
heredity,12648490,141,4,7687,9840,2153,0.752957,0.752957,0.752939,0.005063,0.752957,23
heredity,12648490,144,25,7749,9871,2122,0.752957,0.752957,0.752939,0.005115,0.752957,17
heredity,12648490,145,1,7800,9947,2147,0.752957,0.752957,0.752939,0.005074,0.752957,23
heredity,12648491,4,4,0,1339,1339,0.500000,0.500000,0.500000,0.000000,0.500000,14
heredity,12648491,5,5,0,1339,1339,0.500000,0.500000,0.500000,0.000000,0.500000,14
heredity,12648491,1,1,0,1341,1341,0.500368,0.500368,0.500366,0.000000,0.500368,11
heredity,12648491,18,18,0,1341,1341,0.501187,0.501187,0.501183,0.002460,0.501187,11
heredity,12648491,2,2,0,1348,1348,0.504581,0.504581,0.504578,0.002555,0.504581,11
heredity,12648491,24,24,0,1348,1348,0.504919,0.504919,0.504922,0.000000,0.504919,14
heredity,12648491,13,13,0,1353,1353,0.500000,0.500000,0.500000,0.000000,0.500000,10
heredity,12648491,15,15,0,1353,1353,0.507420,0.507420,0.507425,0.000000,0.507420,10
heredity,12648491,29,29,0,1363,1363,0.512298,0.512298,0.512290,0.003025,0.512298,15
heredity,12648491,16,16,0,1369,1369,0.511058,0.511058,0.511052,0.002064,0.511058,15
heredity,12648491,22,22,0,1376,1376,0.510539,0.510539,0.510541,0.000000,0.510539,14
heredity,12648491,23,23,0,1378,1378,0.519618,0.519618,0.519613,0.001292,0.519618,15
heredity,12648491,10,10,0,1379,1379,0.520467,0.520467,0.520464,0.000961,0.520467,11
heredity,12648491,26,26,0,1381,1381,0.518385,0.518385,0.518377,0.003576,0.518385,15
heredity,12648491,0,0,0,1389,1389,0.520074,0.520074,0.520079,0.000000,0.520074,12
heredity,12648491,11,11,0,1392,1392,0.500000,0.500000,0.500000,0.000000,0.500000,11
heredity,12648491,28,28,0,1406,1406,0.525271,0.525271,0.525269,0.001444,0.525271,14
heredity,12648491,7,7,0,1411,1411,0.511284,0.511284,0.511290,0.000000,0.511284,12
heredity,12648491,9,9,0,1414,1414,0.534680,0.534679,0.534673,0.003374,0.534679,11
