condition,seed,life_id,agent_id,birth_step,death_step,lifetime_steps,spawn_c_score,spawn_c_level,step1_c_score,step1_c_level,step10_c_score,step10_c_level,step100_c_score,step100_c_level
heredity_oracle_global_freeze,12648491,29,29,0,1363,1363,0.000000,0.000000,0.024978,0.512298,0.024978,0.512298,0.024978,0.512298
heredity_oracle_global_freeze,12648491,16,16,0,1369,1369,0.000000,0.000000,0.022121,0.511058,0.022121,0.511058,0.022121,0.511058
heredity_oracle_global_freeze,12648491,22,22,0,1376,1376,0.000000,0.000000,0.021094,0.510539,0.021094,0.510539,0.021094,0.510539
heredity_oracle_global_freeze,12648491,23,23,0,1378,1378,0.000000,0.000000,0.039257,0.519618,0.039257,0.519618,0.039257,0.519618
heredity_oracle_global_freeze,12648491,10,10,0,1379,1379,0.000000,0.000000,0.040959,0.520467,0.040959,0.520467,0.040959,0.520467
heredity_oracle_global_freeze,12648491,26,26,0,1381,1381,0.000000,0.000000,0.036789,0.518385,0.036789,0.518385,0.036789,0.518385
heredity_oracle_global_freeze,12648491,0,0,0,1389,1389,0.000000,0.000000,0.040170,0.520074,0.040170,0.520074,0.040170,0.520074
heredity_oracle_global_freeze,12648491,11,11,0,1392,1392,0.000000,0.000000,0.000000,0.500000,0.000000,0.500000,0.000000,0.500000
heredity_oracle_global_freeze,12648491,28,28,0,1406,1406,0.000000,0.000000,0.050605,0.525271,0.050605,0.525271,0.050605,0.525271
heredity_oracle_global_freeze,12648491,7,7,0,1411,1411,0.000000,0.000000,0.022574,0.511284,0.022574,0.511284,0.022574,0.511284
heredity_oracle_global_freeze,12648491,9,9,0,1414,1414,0.000000,0.000000,0.069585,0.534680,0.069585,0.534680,0.069585,0.534680
heredity_oracle_global_freeze,12648491,14,14,0,1426,1426,0.000000,0.000000,0.072043,0.535954,0.072043,0.535954,0.072043,0.535954
heredity_oracle_global_freeze,12648491,3,3,0,1430,1430,0.000000,0.000000,0.055190,0.527565,0.055190,0.527565,0.055190,0.527565
heredity_oracle_global_freeze,12648491,31,31,0,1433,1433,0.000000,0.000000,0.083983,0.541893,0.083983,0.541893,0.083983,0.541893
heredity_oracle_global_freeze,12648491,17,17,0,1436,1436,0.000000,0.000000,0.034255,0.517107,0.034255,0.517107,0.034255,0.517107
heredity_oracle_global_freeze,12648491,6,6,0,1464,1464,0.000000,0.000000,0.065848,0.532851,0.065848,0.532851,0.065848,0.532851
heredity_oracle_global_freeze,12648491,30,30,0,1482,1482,0.000000,0.000000,0.113636,0.556542,0.113636,0.556542,0.113636,0.556542
heredity_oracle_global_freeze,12648491,27,27,0,1483,1483,0.000000,0.000000,0.102935,0.550752,0.102935,0.550752,0.102935,0.550752
heredity_oracle_global_freeze,12648491,20,20,0,1490,1490,0.000000,0.000000,0.143863,0.570950,0.143863,0.570950,0.143863,0.570950
heredity_oracle_global_freeze,12648491,19,19,0,1505,1505,0.000000,0.000000,0.131767,0.564407,0.131767,0.564407,0.131767,0.564407
heredity_oracle_global_freeze,12648491,25,25,0,1556,1556,0.000000,0.000000,0.146998,0.572220,0.146998,0.572220,0.146998,0.572220
heredity_oracle_global_freeze,12648491,12,12,0,1621,1621,0.000000,0.000000,0.198428,0.597538,0.198428,0.597538,0.198428,0.597538
heredity_oracle_global_freeze,12648491,8,8,0,1667,1667,0.000000,0.000000,0.268419,0.627254,0.268419,0.627254,0.268419,0.627254
heredity_oracle_global_freeze,12648491,21,21,0,1967,1967,0.000000,0.000000,0.554881,0.717354,0.554881,0.717354,0.554881,0.717354
heredity_oracle_global_freeze,12648491,35,18,1342,4279,2937,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,34,1,1342,4288,2946,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,39,15,1354,4293,2939,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,33,5,1340,4294,2954,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,37,24,1349,4314,2965,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,41,16,1370,4314,2944,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,42,22,1377,4314,2937,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,44,10,1380,4318,2938,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,32,4,1340,4321,2981,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,36,2,1349,4337,2988,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,45,26,1382,4339,2957,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,38,13,1354,4340,2986,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,43,23,1379,4355,2976,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,40,29,1364,4362,2998,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,53,31,1434,4371,2937,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,46,0,1390,4376,2986,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,49,7,1412,4376,2964,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,51,14,1427,4380,2953,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,47,11,1393,4386,2993,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,48,28,1407,4388,2981,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,54,17,1437,4397,2960,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,50,9,1415,4405,2990,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,52,3,1431,4417,2986,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,57,27,1484,4443,2959,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,58,20,1491,4445,2954,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,55,6,1465,4447,2982,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,56,30,1483,4461,2978,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,60,25,1557,4494,2937,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,59,19,1506,4507,3001,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,61,12,1622,4612,2990,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,62,8,1668,4625,2957,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,63,21,1968,4905,2937,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,66,15,4294,7231,2937,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,71,10,4319,7256,2937,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,64,18,4280,7261,2981,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,70,22,4315,7264,2949,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,69,16,4315,7265,2950,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,72,4,4322,7267,2945,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,73,2,4338,7275,2937,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,75,13,4341,7278,2937,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,65,1,4289,7283,2994,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,67,5,4295,7284,2989,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,68,24,4315,7286,2971,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,76,23,4356,7293,2937,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,74,26,4340,7295,2955,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,77,29,4363,7300,2937,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,78,31,4372,7309,2937,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,82,11,4387,7324,2937,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,79,0,4377,7337,2960,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,85,9,4406,7343,2937,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,84,17,4398,7347,2949,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,83,28,4389,7364,2975,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,80,7,4377,7365,2988,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,81,14,4381,7367,2986,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,86,3,4418,7368,2950,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,88,20,4446,7384,2938,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,89,6,4448,7404,2956,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,87,27,4444,7441,2997,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,92,19,4508,7445,2937,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,91,25,4495,7450,2955,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,90,30,4462,7455,2993,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,93,12,4613,7550,2937,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,94,8,4626,7563,2937,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648491,95,21,4906,7905,2999,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776,0.999944,0.880776
heredity_oracle_global_freeze,12648492,0,0,0,1339,1339,0.000000,0.000000,0.000000,0.500000,0.000000,0.500000,0.000000,0.500000
heredity_oracle_global_freeze,12648492,2,2,0,1351,1351,0.000000,0.000000,0.012845,0.506422,0.012845,0.506422,0.012845,0.506422
