condition,baseline_type,seed,selection_enabled,juvenile_enabled,snapshot_step,death_count,normalized_step,loo_c_score,g_scene,pairwise_entropy,ji_score,unique_bins
heredity_nosel,log_random_filtered,3870294017,0,1,740,172,0.061667,0.319654,-11.308211,4.528981,0.164550,16.000
heredity_nosel,log_random_filtered,3870294017,0,1,750,173,0.062500,0.298972,-10.873017,4.446008,0.164596,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,760,179,0.063333,0.325347,-8.174239,4.343566,0.150973,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,770,182,0.064167,0.326753,-9.426645,4.427841,0.176673,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,780,184,0.065000,0.309060,-9.060073,4.397543,0.183451,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,790,186,0.065833,0.321149,-9.973452,4.524621,0.177358,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,800,188,0.066667,0.327979,-8.575119,4.241179,0.192949,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,810,190,0.067500,0.268760,-9.806946,4.368549,0.146076,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,820,194,0.068333,0.264876,-10.042948,4.336723,0.131617,16.000
heredity_nosel,log_random_filtered,3870294017,0,1,830,196,0.069167,0.266625,-10.659744,4.297705,0.154275,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,840,198,0.070000,0.263549,-11.562179,4.465331,0.169809,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,850,200,0.070833,0.287559,-10.323715,4.446586,0.179626,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,860,204,0.071667,0.294436,-10.967907,4.372910,0.183851,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,870,205,0.072500,0.301792,-11.025976,4.411928,0.160744,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,880,207,0.073333,0.261402,-12.041899,4.370805,0.201569,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,890,208,0.074167,0.261727,-12.005560,4.421952,0.190333,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,900,210,0.075000,0.247411,-10.541918,4.419547,0.163964,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,910,214,0.075833,0.241052,-12.193568,4.393141,0.156494,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,920,216,0.076667,0.314423,-11.728723,4.478412,0.162660,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,930,217,0.077500,0.328980,-11.222284,4.492795,0.170843,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,940,220,0.078333,0.267762,-9.276430,4.393141,0.156419,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,950,224,0.079167,0.297423,-9.623808,4.481243,0.177042,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,960,228,0.080000,0.343695,-8.252184,4.103326,0.236304,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,970,230,0.080833,0.369510,-7.512921,3.968903,0.268557,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,980,231,0.081667,0.387946,-8.936115,4.107835,0.239043,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,990,233,0.082500,0.314688,-10.427757,4.151306,0.224343,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,1000,237,0.083333,0.264891,-10.435011,4.175715,0.197174,12.000
heredity_nosel,log_random_filtered,3870294017,0,1,1010,238,0.084167,0.247839,-10.745692,4.173460,0.186576,12.000
heredity_nosel,log_random_filtered,3870294017,0,1,1020,239,0.085000,0.219267,-9.580059,4.135557,0.183759,12.000
heredity_nosel,log_random_filtered,3870294017,0,1,1030,243,0.085833,0.261673,-10.895842,4.232749,0.174570,12.000
heredity_nosel,log_random_filtered,3870294017,0,1,1040,246,0.086667,0.287068,-11.141831,4.278384,0.192910,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,1050,248,0.087500,0.283614,-11.202633,4.211901,0.227425,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,1060,251,0.088333,0.273242,-9.911808,4.179349,0.235030,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,1070,254,0.089167,0.282218,-9.699411,4.351242,0.227538,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,1080,255,0.090000,0.277603,-9.517584,4.355603,0.227405,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,1090,255,0.090833,0.277603,-9.517584,4.355603,0.227405,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,1100,261,0.091667,0.209118,-10.676195,4.450935,0.161126,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,1110,263,0.092500,0.207175,-13.766919,4.552087,0.137753,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,1120,264,0.093333,0.223448,-13.227842,4.614211,0.129596,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,1130,268,0.094167,0.312250,-12.932226,4.476882,0.125803,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,1140,270,0.095000,0.310982,-11.205167,4.450946,0.114152,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,1150,272,0.095833,0.302344,-11.571398,4.403207,0.110913,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,1160,274,0.096667,0.307475,-10.534844,4.474051,0.115028,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,1170,276,0.097500,0.323009,-10.137345,4.517430,0.130574,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,1180,278,0.098333,0.327090,-10.387986,4.465330,0.136606,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,1190,282,0.099167,0.353856,-10.511788,4.462499,0.149185,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,1200,285,0.100000,0.329905,-11.673659,4.563640,0.150076,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,1210,289,0.100833,0.339907,-11.750313,4.336724,0.222068,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,1220,290,0.101667,0.335863,-11.456396,4.325305,0.224981,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,1230,291,0.102500,0.323344,-10.705537,4.323776,0.229557,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,1240,293,0.103333,0.301049,-10.448540,4.376693,0.189476,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,1250,297,0.104167,0.295472,-10.020466,4.420650,0.175347,16.000
heredity_nosel,log_random_filtered,3870294017,0,1,1260,300,0.105000,0.282298,-11.102999,4.462498,0.150111,16.000
heredity_nosel,log_random_filtered,3870294017,0,1,1270,303,0.105833,0.281721,-10.727385,4.552087,0.137460,16.000
heredity_nosel,log_random_filtered,3870294017,0,1,1280,305,0.106667,0.289582,-11.183105,4.570831,0.134333,16.000
heredity_nosel,log_random_filtered,3870294017,0,1,1290,308,0.107500,0.241830,-9.177237,4.494325,0.127167,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,1300,311,0.108333,0.265592,-7.927306,4.453778,0.134417,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,1310,316,0.109167,0.266313,-7.286253,4.317160,0.136712,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,1320,317,0.110000,0.301294,-8.384247,4.481243,0.146753,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,1330,320,0.110833,0.294171,-9.082763,4.446586,0.141696,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,1340,322,0.111667,0.261586,-10.677667,4.501517,0.145211,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,1350,326,0.112500,0.280624,-8.458884,4.437733,0.138578,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,1360,327,0.113333,0.269518,-10.692318,4.517429,0.160564,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,1370,330,0.114167,0.300760,-12.584390,4.416289,0.163143,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,1380,334,0.115000,0.274514,-12.275517,4.125590,0.190122,12.000
heredity_nosel,log_random_filtered,3870294017,0,1,1390,338,0.115833,0.293910,-13.064697,4.397544,0.155834,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,1400,338,0.116667,0.293910,-13.064697,4.397544,0.155834,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,1410,340,0.117500,0.294445,-11.638935,4.292501,0.156521,12.000
heredity_nosel,log_random_filtered,3870294017,0,1,1420,340,0.118333,0.300731,-13.143959,4.388246,0.156274,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,1430,344,0.119167,0.293049,-11.015367,4.374955,0.168309,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,1440,345,0.120000,0.283671,-13.202537,4.368551,0.141721,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,1450,349,0.120833,0.282326,-11.698762,4.424530,0.149048,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,1460,352,0.121667,0.243367,-13.959531,4.488435,0.173308,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,1470,356,0.122500,0.292530,-12.473992,4.333891,0.183246,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,1480,356,0.123333,0.292530,-12.473992,4.333891,0.183246,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,1490,357,0.124167,0.277800,-12.549038,4.377270,0.165840,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,1500,358,0.125000,0.311249,-11.340053,4.233702,0.185965,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,1510,362,0.125833,0.243754,-12.227390,4.381630,0.161132,16.000
heredity_nosel,log_random_filtered,3870294017,0,1,1520,365,0.126667,0.244924,-10.149261,4.269332,0.147728,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,1530,368,0.127500,0.243158,-9.752898,4.393140,0.136862,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,1540,370,0.128333,0.262811,-11.883387,4.455307,0.136652,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,1550,373,0.129167,0.242594,-13.399714,4.432202,0.144943,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,1560,374,0.130000,0.223316,-14.155651,4.423481,0.156595,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,1570,379,0.130833,0.207876,-10.534482,4.298974,0.226262,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,1580,381,0.131667,0.255927,-11.355336,4.325171,0.232786,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,1590,385,0.132500,0.279224,-9.486958,4.365718,0.179399,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,1600,387,0.133333,0.274978,-9.236165,4.349805,0.172374,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,1610,389,0.134167,0.301142,-9.268501,4.381631,0.182024,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,1620,392,0.135000,0.309826,-9.944165,4.508708,0.148108,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,1630,393,0.135833,0.301422,-9.702631,4.453778,0.153809,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,1640,393,0.136667,0.301422,-9.702631,4.453778,0.153809,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,1650,396,0.137500,0.278819,-10.463448,4.391655,0.126912,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,1660,397,0.138333,0.269812,-10.131778,4.384461,0.141654,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,1670,400,0.139167,0.370003,-10.584813,4.346973,0.153396,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,1680,404,0.140000,0.293064,-10.157320,4.217351,0.172331,15.000
