bin_center,baseline_mean,baseline_ci95,nohill_mean,nohill_ci95,norep_mean,norep_ci95,n_seeds,n_pairs
9.6250,0.000000,0.000000,0.004167,0.001444,0.000000,0.000000,20,276
9.6750,0.004710,0.004948,0.004167,0.001529,0.005616,0.007490,20,276
9.7250,0.000000,0.000000,0.002355,0.001444,0.000000,0.000000,20,276
9.7750,0.000000,0.000000,0.003623,0.001230,0.000000,0.000000,20,276
9.8250,0.000000,0.000000,0.003623,0.001329,0.000000,0.000000,20,276
9.8750,0.000000,0.000000,0.003986,0.001580,0.000000,0.000000,20,276
9.9250,0.000000,0.000000,0.002717,0.001409,0.000000,0.000000,20,276
9.9750,0.008514,0.005152,0.003986,0.001580,0.005072,0.009690,20,276
10.0250,0.000000,0.000000,0.001812,0.000939,0.000000,0.000000,20,276
10.0750,0.000000,0.000000,0.003986,0.001411,0.000000,0.000000,20,276
10.1250,0.000000,0.000000,0.003804,0.001278,0.000000,0.000000,20,276
10.1750,0.003442,0.003568,0.003080,0.001444,0.001268,0.001686,20,276
10.2250,0.001630,0.003115,0.002174,0.001270,0.000000,0.000000,20,276
10.2750,0.000000,0.000000,0.005254,0.001975,0.003261,0.006229,20,276
10.3250,0.000000,0.000000,0.002536,0.001017,0.000000,0.000000,20,276
10.3750,0.000000,0.000000,0.003986,0.001732,0.002174,0.004153,20,276
10.4250,0.000000,0.000000,0.004529,0.001496,0.000000,0.000000,20,276
10.4750,0.000000,0.000000,0.001812,0.001065,0.000000,0.000000,20,276
10.5250,0.000000,0.000000,0.003623,0.001420,0.000000,0.000000,20,276
10.5750,0.000000,0.000000,0.003080,0.001444,0.000000,0.000000,20,276
10.6250,0.000000,0.000000,0.003080,0.001444,0.000000,0.000000,20,276
10.6750,0.000000,0.000000,0.002536,0.001338,0.000000,0.000000,20,276
10.7250,0.000000,0.000000,0.003804,0.001625,0.000000,0.000000,20,276
10.7750,0.000000,0.000000,0.002174,0.001270,0.003804,0.007268,20,276
10.8250,0.000000,0.000000,0.001812,0.001464,0.000000,0.000000,20,276
10.8750,0.024638,0.012026,0.004167,0.001610,0.017754,0.015886,20,276
10.9250,0.000000,0.000000,0.003442,0.001774,0.000000,0.000000,20,276
10.9750,0.000000,0.000000,0.003804,0.001462,0.003623,0.006922,20,276
11.0250,0.000000,0.000000,0.004348,0.001852,0.000000,0.000000,20,276
11.0750,0.000000,0.000000,0.002536,0.001338,0.000000,0.000000,20,276
11.1250,0.000000,0.000000,0.003442,0.001625,0.000000,0.000000,20,276
11.1750,0.000000,0.000000,0.004710,0.001596,0.004529,0.008652,20,276
11.2250,0.000000,0.000000,0.003080,0.001354,0.000000,0.000000,20,276
11.2750,0.000000,0.000000,0.003080,0.001610,0.000000,0.000000,20,276
11.3250,0.000000,0.000000,0.003986,0.001319,0.001630,0.003115,20,276
11.3750,0.000000,0.000000,0.004710,0.001747,0.000000,0.000000,20,276
11.4250,0.000000,0.000000,0.001812,0.001065,0.000000,0.000000,20,276
11.4750,0.000000,0.000000,0.002899,0.001077,0.000000,0.000000,20,276
11.5250,0.000000,0.000000,0.001993,0.001175,0.000000,0.000000,20,276
11.5750,0.000000,0.000000,0.003261,0.001804,0.000000,0.000000,20,276
11.6250,0.000000,0.000000,0.005254,0.001843,0.000000,0.000000,20,276
11.6750,0.000000,0.000000,0.003986,0.001732,0.000000,0.000000,20,276
11.7250,0.000000,0.000000,0.003442,0.001546,0.000000,0.000000,20,276
11.7750,0.000000,0.000000,0.003261,0.001498,0.000000,0.000000,20,276
11.8250,0.000000,0.000000,0.003080,0.001354,0.000000,0.000000,20,276
11.8750,0.000000,0.000000,0.003804,0.001462,0.000000,0.000000,20,276
11.9250,0.000000,0.000000,0.004710,0.001747,0.000000,0.000000,20,276
11.9750,0.032246,0.016729,0.001993,0.001062,0.025725,0.016013,20,276
