bin_center,mean_frac,std_frac,ci95_frac,n_seeds,n_pairs,mean_count,std_count
4.9750,0.038587,0.018766,0.008225,20,276,10.650000,5.179528
5.0250,0.004348,0.007210,0.003160,20,276,1.200000,1.989975
5.0750,0.001449,0.003513,0.001540,20,276,0.400000,0.969536
5.1250,0.000725,0.002174,0.000953,20,276,0.200000,0.600000
5.1750,0.003261,0.003783,0.001658,20,276,0.900000,1.044031
5.2250,0.000181,0.000790,0.000346,20,276,0.050000,0.217945
5.2750,0.000181,0.000790,0.000346,20,276,0.050000,0.217945
5.3250,0.004529,0.009013,0.003950,20,276,1.250000,2.487468
5.3750,0.003080,0.006199,0.002717,20,276,0.850000,1.710994
5.4250,0.002536,0.005625,0.002465,20,276,0.700000,1.552418
5.4750,0.005254,0.006428,0.002817,20,276,1.450000,1.774119
5.5250,0.005254,0.006114,0.002680,20,276,1.450000,1.687454
5.5750,0.000543,0.001728,0.000757,20,276,0.150000,0.476970
5.6250,0.001268,0.002631,0.001153,20,276,0.350000,0.726292
5.6750,0.002174,0.003513,0.001540,20,276,0.600000,0.969536
5.7250,0.002174,0.004640,0.002034,20,276,0.600000,1.280625
5.7750,0.002174,0.005300,0.002323,20,276,0.600000,1.462874
5.8250,0.017391,0.014744,0.006462,20,276,4.800000,4.069398
5.8750,0.007428,0.011767,0.005157,20,276,2.050000,3.247692
5.9250,0.004167,0.004175,0.001830,20,276,1.150000,1.152172
5.9750,0.000725,0.003159,0.001384,20,276,0.200000,0.871780
6.0250,0.001812,0.004363,0.001912,20,276,0.500000,1.204159
6.0750,0.002536,0.005007,0.002195,20,276,0.700000,1.382028
6.1250,0.005797,0.007888,0.003457,20,276,1.600000,2.177154
6.1750,0.014312,0.009271,0.004063,20,276,3.950000,2.558808
6.2250,0.002174,0.003869,0.001695,20,276,0.600000,1.067708
6.2750,0.003080,0.006304,0.002763,20,276,0.850000,1.739971
6.3250,0.001630,0.003133,0.001373,20,276,0.450000,0.864581
6.3750,0.002174,0.004348,0.001906,20,276,0.600000,1.200000
6.4250,0.001268,0.003489,0.001529,20,276,0.350000,0.963068
6.4750,0.004710,0.008270,0.003625,20,276,1.300000,2.282542
6.5250,0.007790,0.007709,0.003379,20,276,2.150000,2.127792
6.5750,0.000725,0.001847,0.000810,20,276,0.200000,0.509902
6.6250,0.001449,0.003869,0.001695,20,276,0.400000,1.067708
6.6750,0.002355,0.003673,0.001610,20,276,0.650000,1.013657
6.7250,0.000000,0.000000,0.000000,20,276,0.000000,0.000000
6.7750,0.000000,0.000000,0.000000,20,276,0.000000,0.000000
6.8250,0.001812,0.002687,0.001178,20,276,0.500000,0.741620
6.8750,0.000000,0.000000,0.000000,20,276,0.000000,0.000000
6.9250,0.000362,0.001087,0.000476,20,276,0.100000,0.300000
6.9750,0.001812,0.002431,0.001065,20,276,0.500000,0.670820
7.0250,0.046739,0.011452,0.005019,20,276,12.900000,3.160697
7.0750,0.000543,0.001728,0.000757,20,276,0.150000,0.476970
7.1250,0.000181,0.000790,0.000346,20,276,0.050000,0.217945
7.1750,0.000181,0.000790,0.000346,20,276,0.050000,0.217945
7.2250,0.000181,0.000790,0.000346,20,276,0.050000,0.217945
7.2750,0.002899,0.003730,0.001635,20,276,0.800000,1.029563
7.3250,0.002536,0.005740,0.002516,20,276,0.700000,1.584298
7.3750,0.003261,0.005601,0.002455,20,276,0.900000,1.545963
7.4250,0.000362,0.001579,0.000692,20,276,0.100000,0.435890
7.4750,0.001268,0.003296,0.001444,20,276,0.350000,0.909670
7.5250,0.002355,0.004622,0.002026,20,276,0.650000,1.275735
7.5750,0.000906,0.002255,0.000988,20,276,0.250000,0.622495
7.6250,0.011775,0.011845,0.005191,20,276,3.250000,3.269174
7.6750,0.007790,0.010518,0.004610,20,276,2.150000,2.903016
7.7250,0.002355,0.003847,0.001686,20,276,0.650000,1.061838
7.7750,0.002355,0.005285,0.002316,20,276,0.650000,1.458595
7.8250,0.001630,0.004925,0.002158,20,276,0.450000,1.359228
7.8750,0.004891,0.006509,0.002853,20,276,1.350000,1.796524
7.9250,0.000543,0.001728,0.000757,20,276,0.150000,0.476970
7.9750,0.000181,0.000790,0.000346,20,276,0.050000,0.217945
