# source=pairwise_intervals bin_width=0.050 n_pairs=276
bin_center,count,frac
5.8750,1.000000,0.003623
5.9250,2.000000,0.007246
5.9750,0.000000,0.000000
6.0250,0.000000,0.000000
6.0750,0.000000,0.000000
6.1250,0.000000,0.000000
6.1750,0.000000,0.000000
6.2250,1.000000,0.003623
6.2750,3.000000,0.010870
6.3250,1.000000,0.003623
6.3750,4.000000,0.014493
6.4250,0.000000,0.000000
6.4750,1.000000,0.003623
6.5250,1.000000,0.003623
6.5750,1.000000,0.003623
6.6250,1.000000,0.003623
6.6750,2.000000,0.007246
6.7250,0.000000,0.000000
6.7750,3.000000,0.010870
6.8250,2.000000,0.007246
6.8750,2.000000,0.007246
6.9250,0.000000,0.000000
6.9750,0.000000,0.000000
7.0250,0.000000,0.000000
7.0750,1.000000,0.003623
7.1250,0.000000,0.000000
7.1750,1.000000,0.003623
7.2250,0.000000,0.000000
7.2750,3.000000,0.010870
7.3250,1.000000,0.003623
7.3750,1.000000,0.003623
7.4250,0.000000,0.000000
7.4750,0.000000,0.000000
7.5250,1.000000,0.003623
7.5750,0.000000,0.000000
7.6250,0.000000,0.000000
7.6750,1.000000,0.003623
7.7250,1.000000,0.003623
7.7750,4.000000,0.014493
7.8250,2.000000,0.007246
7.8750,2.000000,0.007246
7.9250,1.000000,0.003623
7.9750,2.000000,0.007246
8.0250,0.000000,0.000000
8.0750,0.000000,0.000000
8.1250,0.000000,0.000000
8.1750,2.000000,0.007246
8.2250,0.000000,0.000000
8.2750,1.000000,0.003623
8.3250,1.000000,0.003623
8.3750,1.000000,0.003623
8.4250,0.000000,0.000000
8.4750,3.000000,0.010870
8.5250,2.000000,0.007246
8.5750,1.000000,0.003623
8.6250,0.000000,0.000000
8.6750,0.000000,0.000000
8.7250,2.000000,0.007246
8.7750,1.000000,0.003623
8.8250,0.000000,0.000000
8.8750,2.000000,0.007246
8.9250,1.000000,0.003623
8.9750,2.000000,0.007246
9.0250,0.000000,0.000000
9.0750,2.000000,0.007246
9.1250,2.000000,0.007246
9.1750,0.000000,0.000000
9.2250,1.000000,0.003623
9.2750,0.000000,0.000000
9.3250,2.000000,0.007246
9.3750,3.000000,0.010870
9.4250,2.000000,0.007246
9.4750,0.000000,0.000000
9.5250,2.000000,0.007246
9.5750,0.000000,0.000000
9.6250,1.000000,0.003623
9.6750,0.000000,0.000000
9.7250,2.000000,0.007246
9.7750,1.000000,0.003623
9.8250,0.000000,0.000000
9.8750,1.000000,0.003623
9.9250,2.000000,0.007246
9.9750,3.000000,0.010870
10.0250,3.000000,0.010870
10.0750,0.000000,0.000000
10.1250,2.000000,0.007246
10.1750,1.000000,0.003623
10.2250,0.000000,0.000000
10.2750,1.000000,0.003623
10.3250,1.000000,0.003623
10.3750,0.000000,0.000000
10.4250,2.000000,0.007246
10.4750,0.000000,0.000000
10.5250,4.000000,0.014493
10.5750,1.000000,0.003623
10.6250,0.000000,0.000000
10.6750,1.000000,0.003623
10.7250,0.000000,0.000000
10.7750,1.000000,0.003623
10.8250,0.000000,0.000000
10.8750,3.000000,0.010870
10.9250,1.000000,0.003623
10.9750,2.000000,0.007246
11.0250,2.000000,0.007246
11.0750,1.000000,0.003623
11.1250,2.000000,0.007246
11.1750,1.000000,0.003623
11.2250,0.000000,0.000000
11.2750,0.000000,0.000000
11.3250,3.000000,0.010870
11.3750,0.000000,0.000000
11.4250,4.000000,0.014493
11.4750,4.000000,0.014493
11.5250,0.000000,0.000000
11.5750,1.000000,0.003623
11.6250,0.000000,0.000000
11.6750,0.000000,0.000000
11.7250,1.000000,0.003623
11.7750,0.000000,0.000000
11.8250,0.000000,0.000000
11.8750,0.000000,0.000000
11.9250,1.000000,0.003623
11.9750,1.000000,0.003623
