# G(F)=a*H_soc+b*R_soc+c*H_soc*R_soc; H_soc=H_scene-mean_i H(singleton_i); R_soc=R_scene-mean_i R(singleton_i); scene includes adaptive voices plus fixed drone
step,baseline_g_scene,baseline_h_scene,baseline_h_single_mean,baseline_h_social,baseline_r_scene,baseline_r_single_mean,baseline_r_social,nohill_g_scene,nohill_h_scene,nohill_h_single_mean,nohill_h_social,nohill_r_scene,nohill_r_single_mean,nohill_r_social
59,-28.722090,0.980158,1.166504,-0.186346,21.276188,0.000567,21.275621,-25.144199,1.120784,1.167450,-0.046666,18.625881,0.000548,18.625332
60,-28.722090,0.980158,1.166504,-0.186346,21.276188,0.000567,21.275621,-25.261242,1.108768,1.167450,-0.058682,18.712580,0.000549,18.712030
61,-28.722090,0.980158,1.166504,-0.186346,21.276188,0.000567,21.275621,-25.261242,1.108768,1.167450,-0.058682,18.712580,0.000549,18.712030
62,-28.721420,0.974711,1.166504,-0.191792,21.275692,0.000567,21.275126,-25.273727,1.106567,1.167449,-0.060882,18.721828,0.000549,18.721279
63,-28.721420,0.974711,1.166504,-0.191792,21.275692,0.000567,21.275126,-24.885761,1.102445,1.167447,-0.065002,18.434446,0.000549,18.433897
64,-28.721420,0.974711,1.166504,-0.191792,21.275692,0.000567,21.275126,-24.941769,1.096037,1.167446,-0.071410,18.475933,0.000549,18.475384
65,-28.721420,0.974711,1.166504,-0.191792,21.275692,0.000567,21.275126,-24.779268,1.088357,1.167446,-0.079090,18.355562,0.000549,18.355013
66,-28.721420,0.974711,1.166504,-0.191792,21.275692,0.000567,21.275126,-24.666885,1.092756,1.167446,-0.074690,18.272318,0.000551,18.271767
67,-28.721420,0.974711,1.166504,-0.191792,21.275692,0.000567,21.275126,-24.549139,1.097022,1.167446,-0.070425,18.185099,0.000552,18.184547
68,-28.721420,0.974711,1.166504,-0.191792,21.275692,0.000567,21.275126,-24.815390,1.104879,1.167446,-0.062568,18.382322,0.000552,18.381769
69,-28.721420,0.974711,1.166504,-0.191792,21.275692,0.000567,21.275126,-25.078487,1.100335,1.167448,-0.067113,18.577209,0.000552,18.576656
70,-28.721420,0.974711,1.166504,-0.191792,21.275692,0.000567,21.275126,-25.068998,1.099061,1.167448,-0.068387,18.570179,0.000552,18.569628
