step,agent_id,semitones,c_level
69,2,-1.073181,0.708847
70,2,-1.073181,0.708847
71,2,-1.073181,0.717405
72,2,-1.073181,0.717405
73,2,-1.073181,0.719671
74,2,-1.073181,0.719671
75,2,-1.073181,0.717405
76,2,-1.073181,0.717405
77,2,-1.073181,0.711351
78,2,-1.073181,0.711351
79,2,-1.073181,0.717405
80,2,-1.073181,0.717405
81,2,-1.073181,0.719671
82,2,-1.073181,0.719671
83,2,-1.073181,0.717405
84,2,-1.073181,0.717405
85,2,-1.073181,0.711351
86,2,-1.073181,0.711351
87,2,-1.073181,0.717405
88,2,-1.073181,0.717405
89,2,-1.073181,0.708847
90,2,-1.073181,0.708847
91,2,-1.073181,0.722980
92,2,-1.073181,0.722980
93,2,-1.073181,0.708847
94,2,-1.073181,0.708847
95,2,-1.073181,0.717405
96,2,-1.073181,0.717405
97,2,-1.073181,0.708847
98,2,-1.073181,0.708847
99,2,-1.073181,0.718630
0,3,11.376812,0.834387
1,3,11.376812,0.686165
2,3,11.256821,0.682606
3,3,11.256821,0.724494
4,3,11.466820,0.771843
5,3,11.466820,0.781011
6,3,11.346817,0.717946
7,3,11.346817,0.766805
8,3,11.526821,0.796078
9,3,11.526821,0.773696
10,3,11.436825,0.804053
11,3,11.436825,0.826852
12,3,11.346817,0.811690
13,3,11.346817,0.781989
14,3,11.166813,0.740026
15,3,11.166813,0.762177
16,3,10.956814,0.784680
17,3,10.956814,0.793288
18,3,10.896824,0.747182
19,3,10.896824,0.788166
20,3,11.136818,0.739936
21,3,11.136818,0.761862
22,3,11.376812,0.726605
23,3,11.376812,0.722146
24,3,11.556828,0.788045
25,3,11.556828,0.775238
26,3,11.646824,0.743735
27,3,11.646824,0.749991
28,3,11.406818,0.767842
29,3,11.406818,0.723010
30,3,11.196819,0.762625
31,3,11.196819,0.761417
32,3,11.316822,0.782744
33,3,11.316822,0.783243
34,3,11.106823,0.757911
35,3,11.106823,0.736932
36,3,10.866817,0.727753
37,3,10.866817,0.735463
38,3,10.986820,0.727788
39,3,10.986820,0.722920
40,3,10.746815,0.759072
41,3,10.746815,0.759465
42,3,10.836811,0.731445
43,3,10.836811,0.718925
44,3,10.986820,0.846637
45,3,10.986820,0.844531
46,3,11.166813,0.723930
47,3,11.166813,0.720078
48,3,11.256821,0.739538
49,3,11.256821,0.744874
50,3,11.016827,0.694035
51,3,11.016827,0.756001
52,3,10.986820,0.715273
53,3,10.986820,0.726424
54,3,10.986820,0.721616
55,3,10.986820,0.703902
56,3,10.956814,0.723227
57,3,10.956814,0.707138
58,3,10.956814,0.694212
59,3,10.956814,0.694559
60,3,10.956814,0.697527
61,3,10.956814,0.669634
62,3,10.926819,0.702155
63,3,10.926819,0.708145
64,3,10.926819,0.709222
65,3,10.926819,0.699894
66,3,10.926819,0.703972
67,3,10.926819,0.709892
68,3,10.926819,0.704282
69,3,10.926819,0.697329
70,3,10.926819,0.697329
71,3,10.926819,0.704282
72,3,10.926819,0.704282
73,3,10.926819,0.705994
74,3,10.926819,0.705994
75,3,10.926819,0.704282
76,3,10.926819,0.704282
77,3,10.926819,0.699409
78,3,10.926819,0.699409
79,3,10.926819,0.704282
80,3,10.926819,0.704282
81,3,10.926819,0.705994
82,3,10.926819,0.705994
83,3,10.926819,0.704282
84,3,10.926819,0.704282
85,3,10.926819,0.699409
86,3,10.926819,0.699409
87,3,10.926819,0.704282
88,3,10.926819,0.704282
89,3,10.926819,0.697329
90,3,10.926819,0.697329
91,3,10.926819,0.708758
92,3,10.926819,0.708758
93,3,10.926819,0.697329
94,3,10.926819,0.697329
95,3,10.926819,0.704282
96,3,10.926819,0.704282
97,3,10.926819,0.697329
98,3,10.926819,0.697329
99,3,10.926819,0.705313
0,4,-9.533180,0.749246
1,4,-9.383183,0.855667
2,4,-9.383183,0.856090
3,4,-9.203178,0.874466
4,4,-9.203178,0.871020
5,4,-8.993179,0.872831
6,4,-8.993179,0.865538
7,4,-8.753180,0.750109
8,4,-8.753180,0.731854
9,4,-8.783180,0.731390
10,4,-8.783180,0.789003
11,4,-8.543180,0.846004
12,4,-8.543180,0.864490
13,4,-8.723179,0.854420
14,4,-8.723179,0.852224
15,4,-8.483179,0.745122
16,4,-8.483179,0.768205
17,4,-8.513180,0.761488
18,4,-8.513180,0.718332
19,4,-8.483179,0.710401
20,4,-8.483179,0.717979
21,4,-8.603182,0.782791
22,4,-8.603182,0.723830
23,4,-8.483179,0.708891
24,4,-8.483179,0.710310
25,4,-8.723179,0.778731
26,4,-8.723179,0.810156
27,4,-8.603182,0.817037
28,4,-8.603182,0.838482
29,4,-8.513180,0.877524
30,4,-8.513180,0.877389
31,4,-8.753180,0.874368
32,4,-8.753180,0.874518
33,4,-8.993179,0.869256
34,4,-8.993179,0.834642
35,4,-9.233179,0.680199
36,4,-9.233179,0.685140
37,4,-9.443184,0.704652
38,4,-9.443184,0.716927
39,4,-9.323181,0.695162
40,4,-9.323181,0.726847
41,4,-9.533180,0.720414
42,4,-9.533180,0.740002
43,4,-9.443184,0.698416
44,4,-9.443184,0.731286
45,4,-9.293180,0.856247
46,4,-9.293180,0.832105
47,4,-9.503180,0.693822
48,4,-9.503180,0.705708
49,4,-9.413177,0.700056
50,4,-9.413177,0.661284
51,4,-9.383183,0.611276
52,4,-9.383183,0.619074
53,4,-9.203178,0.651008
54,4,-9.203178,0.650306
55,4,-8.993179,0.663651
56,4,-8.993179,0.672932
57,4,-9.203178,0.658343
58,4,-9.203178,0.670350
59,4,-8.993179,0.666255
60,4,-8.993179,0.670790
61,4,-9.203178,0.659573
62,4,-9.203178,0.675607
63,4,-8.993179,0.667892
64,4,-8.993179,0.683930
65,4,-9.203178,0.660982
66,4,-9.203178,0.663756
67,4,-8.993179,0.665007
68,4,-8.993179,0.665813
69,4,-9.203178,0.664101
70,4,-9.203178,0.664101
71,4,-8.993179,0.665813
72,4,-8.993179,0.665813
73,4,-9.203178,0.668253
74,4,-9.203178,0.668253
75,4,-8.993179,0.665813
76,4,-8.993179,0.665813
77,4,-9.203178,0.665970
78,4,-9.203178,0.665970
79,4,-8.993179,0.665813
80,4,-8.993179,0.665813
81,4,-9.203178,0.668253
82,4,-9.203178,0.668253
83,4,-8.993179,0.665813
84,4,-8.993179,0.665813
85,4,-9.203178,0.665970
86,4,-9.203178,0.665970
87,4,-8.993179,0.665813
88,4,-8.993179,0.665813
89,4,-9.203178,0.664101
90,4,-9.203178,0.664101
91,4,-8.993179,0.664801
92,4,-8.993179,0.664801
93,4,-9.203178,0.664101
94,4,-9.203178,0.664101
95,4,-8.993179,0.665813
96,4,-8.993179,0.665813
97,4,-9.203178,0.664101
98,4,-9.203178,0.664101
99,4,-8.993179,0.665645
0,5,1.176819,0.804487
1,5,1.176819,0.748104
2,5,1.386818,0.688490
3,5,1.386818,0.717481
4,5,1.446819,0.783892
5,5,1.446819,0.769183
6,5,1.266815,0.646607
7,5,1.266815,0.714951
8,5,1.086823,0.730535
9,5,1.086823,0.725119
10,5,1.236820,0.850742
11,5,1.236820,0.839477
12,5,1.026821,0.817305
13,5,1.026821,0.726935
14,5,1.116817,0.745706
15,5,1.116817,0.758916
16,5,1.266815,0.861653
17,5,1.266815,0.870538
18,5,1.056816,0.870162
19,5,1.056816,0.870042
20,5,0.816822,0.870088
21,5,0.816822,0.865563
22,5,0.906818,0.800313
23,5,0.906818,0.800352
24,5,1.056816,0.859459
25,5,1.056816,0.848823
26,5,1.266815,0.870890
27,5,1.266815,0.871026
28,5,1.416819,0.871439
29,5,1.416819,0.831287
30,5,1.506821,0.872091
31,5,1.506821,0.857217
32,5,1.266815,0.823667
33,5,1.266815,0.838661
34,5,1.416819,0.871686
35,5,1.416819,0.871735
36,5,1.176819,0.826607
37,5,1.176819,0.837334
38,5,1.296822,0.832075
39,5,1.296822,0.829583
40,5,1.056816,0.812873
41,5,1.056816,0.826506
42,5,1.176819,0.866944
43,5,1.176819,0.853661
44,5,1.296822,0.871631
45,5,1.296822,0.871547
46,5,1.446819,0.867652
47,5,1.446819,0.861711
48,5,1.206820,0.871683
49,5,1.206820,0.871877
50,5,0.966820,0.842969
51,5,0.966820,0.861803
52,5,0.966820,0.860366
53,5,0.966820,0.857161
54,5,0.966820,0.851691
55,5,0.966820,0.852256
56,5,0.966820,0.862993
57,5,0.966820,0.866543
58,5,0.966820,0.866458
59,5,0.966820,0.866106
60,5,0.966820,0.871074
61,5,0.966820,0.869495
62,5,0.966820,0.871876
63,5,0.966820,0.871747
64,5,0.966820,0.871739
65,5,0.966820,0.869113
66,5,0.966820,0.871851
67,5,0.966820,0.871730
68,5,0.966820,0.871729
69,5,0.966820,0.870586
70,5,0.966820,0.870586
71,5,0.966820,0.871729
72,5,0.966820,0.871729
73,5,0.966820,0.871857
74,5,0.966820,0.871857
75,5,0.966820,0.871729
76,5,0.966820,0.871729
77,5,0.966820,0.871857
78,5,0.966820,0.871857
79,5,0.966820,0.871729
80,5,0.966820,0.871729
81,5,0.966820,0.871857
82,5,0.966820,0.871857
83,5,0.966820,0.871729
84,5,0.966820,0.871729
85,5,0.966820,0.871857
86,5,0.966820,0.871857
87,5,0.966820,0.871729
88,5,0.966820,0.871729
89,5,0.966820,0.870586
90,5,0.966820,0.870586
91,5,0.966820,0.871729
92,5,0.966820,0.871729
93,5,0.966820,0.870586
94,5,0.966820,0.870586
95,5,0.966820,0.871729
96,5,0.966820,0.871729
97,5,0.966820,0.870586
98,5,0.966820,0.870586
99,5,0.966820,0.871729
0,6,0.936819,0.676699
1,6,0.966820,0.685366
2,6,0.966820,0.689168
3,6,0.906818,0.648549
4,6,0.906818,0.648603
5,6,0.696819,0.813335
6,6,0.696819,0.806431
7,6,0.606823,0.753781
8,6,0.606823,0.746206
9,6,0.516815,0.747352
10,6,0.516815,0.805952
11,6,0.666819,0.835326
12,6,0.666819,0.851274
13,6,0.516815,0.717521
14,6,0.516815,0.690424
15,6,0.396818,0.786193
16,6,0.396818,0.771093
17,6,0.276821,0.862399
18,6,0.276821,0.821622
19,6,0.126823,0.791498
20,6,0.126823,0.800254
21,6,0.186819,0.716259
22,6,0.186819,0.662932
23,6,0.336823,0.690958
24,6,0.336823,0.720878
25,6,0.516815,0.682311
26,6,0.516815,0.706646
27,6,0.636818,0.649684
28,6,0.636818,0.732738
29,6,0.816822,0.706653
30,6,0.816822,0.731314
31,6,0.576817,0.764343
32,6,0.576817,0.788821
33,6,0.366817,0.800331
34,6,0.366817,0.755980
35,6,0.456820,0.766777
36,6,0.456820,0.760578
37,6,0.246820,0.802744
38,6,0.246820,0.783538
39,6,0.336823,0.759981
40,6,0.336823,0.788638
41,6,0.156818,0.808921
42,6,0.156818,0.796037
43,6,0.276821,0.735305
44,6,0.276821,0.773027
45,6,0.366817,0.756994
46,6,0.366817,0.728392
47,6,0.126823,0.764132
48,6,0.126823,0.778966
49,6,0.246820,0.784626
50,6,0.246820,0.711435
51,6,0.006821,0.647918
52,6,0.006821,0.636193
53,6,-0.143177,0.740310
54,6,-0.143177,0.738346
55,6,-0.143177,0.755749
56,6,-0.143177,0.758294
57,6,-0.143177,0.746120
58,6,-0.143177,0.740150
59,6,-0.143177,0.752849
60,6,-0.143177,0.757146
61,6,-0.143177,0.741260
62,6,-0.143177,0.739957
63,6,-0.143177,0.748762
64,6,-0.143177,0.772847
65,6,-0.143177,0.765558
66,6,-0.143177,0.741002
67,6,-0.143177,0.749706
68,6,-0.143177,0.748168
69,6,-0.143177,0.738192
70,6,-0.143177,0.738192
71,6,-0.143177,0.748168
72,6,-0.143177,0.748168
73,6,-0.143177,0.720800
74,6,-0.143177,0.720800
75,6,-0.143177,0.748168
76,6,-0.143177,0.748168
77,6,-0.143177,0.735263
78,6,-0.143177,0.735263
79,6,-0.143177,0.748168
80,6,-0.143177,0.748168
81,6,-0.143177,0.720800
82,6,-0.143177,0.720800
83,6,-0.143177,0.748168
84,6,-0.143177,0.748168
85,6,-0.143177,0.735263
86,6,-0.143177,0.735263
87,6,-0.143177,0.748168
88,6,-0.143177,0.748168
89,6,-0.143177,0.738192
90,6,-0.143177,0.738192
91,6,-0.143177,0.734466
92,6,-0.143177,0.734466
93,6,-0.143177,0.738192
94,6,-0.143177,0.738192
95,6,-0.143177,0.748168
96,6,-0.143177,0.748168
97,6,-0.143177,0.738192
98,6,-0.143177,0.738192
99,6,-0.143177,0.743994
0,7,2.046822,0.734633
1,7,2.046822,0.657330
2,7,2.016815,0.620949
3,7,2.016815,0.688543
4,7,1.776821,0.737657
5,7,1.776821,0.748487
6,7,1.686819,0.844299
7,7,1.686819,0.858133
8,7,1.536816,0.776171
9,7,1.536816,0.765372
10,7,1.446819,0.845527
11,7,1.446819,0.839505
12,7,1.356823,0.838034
13,7,1.356823,0.766349
14,7,1.536816,0.776501
15,7,1.536816,0.799803
16,7,1.296822,0.870429
17,7,1.296822,0.870137
18,7,1.056816,0.870162
19,7,1.056816,0.870042
20,7,0.816822,0.870088
21,7,0.816822,0.865563
22,7,0.906818,0.800313
23,7,0.906818,0.800352
24,7,1.056816,0.859459
25,7,1.056816,0.848823
26,7,1.266815,0.870890
27,7,1.266815,0.871026
28,7,1.416819,0.871439
29,7,1.416819,0.831287
30,7,1.506821,0.872091
31,7,1.506821,0.857217
32,7,1.266815,0.823667
33,7,1.266815,0.838661
34,7,1.416819,0.871686
35,7,1.416819,0.871735
36,7,1.176819,0.826607
