env_partials,env_partial_decay,mirror_weight,seed,harmonic_tilt
3,1.000000,0.600,12648453,0.027825
3,1.000000,0.600,12648454,0.034247
3,1.000000,0.600,12648455,0.032388
3,1.000000,0.600,12648456,0.039161
3,1.000000,0.600,12648457,0.034360
3,1.000000,0.600,12648458,0.030746
3,1.000000,0.600,12648459,0.033294
3,1.000000,0.700,12648440,0.029333
3,1.000000,0.700,12648441,0.036830
3,1.000000,0.700,12648442,0.037839
3,1.000000,0.700,12648443,0.034273
3,1.000000,0.700,12648444,0.037809
3,1.000000,0.700,12648445,0.032776
3,1.000000,0.700,12648446,0.035965
3,1.000000,0.700,12648447,0.038100
3,1.000000,0.700,12648448,0.038561
3,1.000000,0.700,12648449,0.037147
3,1.000000,0.700,12648450,0.036423
3,1.000000,0.700,12648451,0.034094
3,1.000000,0.700,12648452,0.046386
3,1.000000,0.700,12648453,0.033674
3,1.000000,0.700,12648454,0.033727
3,1.000000,0.700,12648455,0.034063
3,1.000000,0.700,12648456,0.040519
3,1.000000,0.700,12648457,0.035152
3,1.000000,0.700,12648458,0.033451
3,1.000000,0.700,12648459,0.033761
3,1.000000,0.800,12648440,0.029367
3,1.000000,0.800,12648441,0.031055
3,1.000000,0.800,12648442,0.035770
3,1.000000,0.800,12648443,0.033290
3,1.000000,0.800,12648444,0.035303
3,1.000000,0.800,12648445,0.031456
3,1.000000,0.800,12648446,0.026109
3,1.000000,0.800,12648447,0.029395
3,1.000000,0.800,12648448,0.038973
3,1.000000,0.800,12648449,0.037192
3,1.000000,0.800,12648450,0.027148
3,1.000000,0.800,12648451,0.032388
3,1.000000,0.800,12648452,0.044254
3,1.000000,0.800,12648453,0.032075
3,1.000000,0.800,12648454,0.034473
3,1.000000,0.800,12648455,0.029002
3,1.000000,0.800,12648456,0.038195
3,1.000000,0.800,12648457,0.032938
3,1.000000,0.800,12648458,0.032983
3,1.000000,0.800,12648459,0.030661
3,1.000000,0.900,12648440,0.029367
3,1.000000,0.900,12648441,0.031742
3,1.000000,0.900,12648442,0.036304
3,1.000000,0.900,12648443,0.033290
3,1.000000,0.900,12648444,0.030256
3,1.000000,0.900,12648445,0.028262
3,1.000000,0.900,12648446,0.024937
3,1.000000,0.900,12648447,0.035193
3,1.000000,0.900,12648448,0.038343
3,1.000000,0.900,12648449,0.033678
3,1.000000,0.900,12648450,0.022702
3,1.000000,0.900,12648451,0.028058
3,1.000000,0.900,12648452,0.042187
3,1.000000,0.900,12648453,0.034969
3,1.000000,0.900,12648454,0.037635
3,1.000000,0.900,12648455,0.028561
3,1.000000,0.900,12648456,0.039183
3,1.000000,0.900,12648457,0.034902
3,1.000000,0.900,12648458,0.028092
3,1.000000,0.900,12648459,0.034865
3,1.000000,1.000,12648440,0.033224
3,1.000000,1.000,12648441,0.036089
3,1.000000,1.000,12648442,0.036304
3,1.000000,1.000,12648443,0.029744
3,1.000000,1.000,12648444,0.036088
3,1.000000,1.000,12648445,0.023437
3,1.000000,1.000,12648446,0.034963
3,1.000000,1.000,12648447,0.036144
3,1.000000,1.000,12648448,0.037557
3,1.000000,1.000,12648449,0.035546
3,1.000000,1.000,12648450,0.022702
3,1.000000,1.000,12648451,0.028203
3,1.000000,1.000,12648452,0.038155
3,1.000000,1.000,12648453,0.042179
3,1.000000,1.000,12648454,0.033657
3,1.000000,1.000,12648455,0.030574
3,1.000000,1.000,12648456,0.041670
3,1.000000,1.000,12648457,0.032349
3,1.000000,1.000,12648458,0.029919
3,1.000000,1.000,12648459,0.035498
3,1.400000,0.000,12648440,0.035026
3,1.400000,0.000,12648441,0.040608
3,1.400000,0.000,12648442,0.040036
3,1.400000,0.000,12648443,0.039632
3,1.400000,0.000,12648444,0.034760
3,1.400000,0.000,12648445,0.039621
3,1.400000,0.000,12648446,0.031318
3,1.400000,0.000,12648447,0.030430
3,1.400000,0.000,12648448,0.043720
3,1.400000,0.000,12648449,0.043238
3,1.400000,0.000,12648450,0.032998
3,1.400000,0.000,12648451,0.038094
3,1.400000,0.000,12648452,0.046955
3,1.400000,0.000,12648453,0.034449
3,1.400000,0.000,12648454,0.045618
3,1.400000,0.000,12648455,0.038222
3,1.400000,0.000,12648456,0.043467
3,1.400000,0.000,12648457,0.048985
3,1.400000,0.000,12648458,0.031602
3,1.400000,0.000,12648459,0.035903
3,1.400000,0.100,12648440,0.032865
3,1.400000,0.100,12648441,0.042398
3,1.400000,0.100,12648442,0.037406
3,1.400000,0.100,12648443,0.035568
3,1.400000,0.100,12648444,0.034250
3,1.400000,0.100,12648445,0.037291
3,1.400000,0.100,12648446,0.036029
3,1.400000,0.100,12648447,0.033981
3,1.400000,0.100,12648448,0.044018
3,1.400000,0.100,12648449,0.041883
3,1.400000,0.100,12648450,0.038643
3,1.400000,0.100,12648451,0.035037
3,1.400000,0.100,12648452,0.044556
3,1.400000,0.100,12648453,0.038061
3,1.400000,0.100,12648454,0.041410
3,1.400000,0.100,12648455,0.040957
3,1.400000,0.100,12648456,0.038909
3,1.400000,0.100,12648457,0.045368
3,1.400000,0.100,12648458,0.030914
3,1.400000,0.100,12648459,0.031457
3,1.400000,0.200,12648440,0.026113
3,1.400000,0.200,12648441,0.034231
3,1.400000,0.200,12648442,0.035436
3,1.400000,0.200,12648443,0.035120
3,1.400000,0.200,12648444,0.033277
3,1.400000,0.200,12648445,0.042218
3,1.400000,0.200,12648446,0.039420
3,1.400000,0.200,12648447,0.038683
3,1.400000,0.200,12648448,0.045945
3,1.400000,0.200,12648449,0.042279
3,1.400000,0.200,12648450,0.035392
3,1.400000,0.200,12648451,0.032683
3,1.400000,0.200,12648452,0.044459
3,1.400000,0.200,12648453,0.031722
3,1.400000,0.200,12648454,0.042563
3,1.400000,0.200,12648455,0.029262
3,1.400000,0.200,12648456,0.037560
3,1.400000,0.200,12648457,0.036838
3,1.400000,0.200,12648458,0.028021
3,1.400000,0.200,12648459,0.037132
3,1.400000,0.300,12648440,0.029948
3,1.400000,0.300,12648441,0.039553
3,1.400000,0.300,12648442,0.040375
3,1.400000,0.300,12648443,0.029553
3,1.400000,0.300,12648444,0.033364
3,1.400000,0.300,12648445,0.037400
3,1.400000,0.300,12648446,0.036447
3,1.400000,0.300,12648447,0.040279
3,1.400000,0.300,12648448,0.044373
3,1.400000,0.300,12648449,0.040930
3,1.400000,0.300,12648450,0.037247
3,1.400000,0.300,12648451,0.036684
3,1.400000,0.300,12648452,0.043651
3,1.400000,0.300,12648453,0.029973
3,1.400000,0.300,12648454,0.043864
3,1.400000,0.300,12648455,0.028437
3,1.400000,0.300,12648456,0.037124
