condition,seed,life_id,agent_id,birth_step,death_step,lifetime_steps,c_score_birth,c_score_firstk,avg_c_score_tick,c_score_std_over_life,avg_c_score_attack,c_level01_birth,c_level01_firstk,avg_c_level01_tick,c_level01_std_over_life,avg_c_level01_attack,attack_tick_count
baseline,12648460,101,0,633,822,189,0.016341,0.016341,0.016341,0.000009,0.016341,0.508170,0.508170,0.508170,0.000000,0.508170,2
baseline,12648460,100,1,629,824,195,0.034297,0.034297,0.034297,0.000074,0.034297,0.517125,0.517125,0.517126,0.000000,0.517125,2
baseline,12648460,105,11,645,836,191,0.023191,0.023191,0.023191,0.000042,0.023191,0.511586,0.511586,0.511587,0.000000,0.511586,2
baseline,12648460,99,30,617,840,223,0.012478,0.012478,0.012478,0.000018,0.012478,0.506239,0.506239,0.506239,0.000173,0.506239,2
baseline,12648460,109,22,656,844,188,0.007093,0.007093,0.007093,0.000000,0.007093,0.503547,0.503547,0.503547,0.000000,0.503547,2
baseline,12648460,83,18,462,845,383,0.639609,0.639609,0.639606,0.001544,0.639609,0.747979,0.747979,0.747983,0.000000,0.747979,3
baseline,12648460,98,21,616,849,233,0.052133,0.052133,0.052133,0.000000,0.052133,0.526008,0.526008,0.526008,0.000000,0.526008,2
baseline,12648460,97,16,613,864,251,0.066539,0.066539,0.066540,0.000000,0.066539,0.533196,0.533196,0.533196,0.000691,0.533196,3
baseline,12648460,103,8,640,866,226,0.004697,0.004697,0.004697,0.000000,0.004697,0.502348,0.502349,0.502349,0.000000,0.502348,2
baseline,12648460,102,13,636,870,234,0.041991,0.041991,0.041991,0.000000,0.041991,0.520983,0.520983,0.520982,0.000846,0.520983,2
baseline,12648460,111,24,667,873,206,0.000005,0.000005,0.000005,0.000000,0.000005,0.500002,0.500002,0.500002,0.000961,0.500002,2
baseline,12648460,108,17,654,874,220,0.011853,0.011853,0.011853,0.000000,0.011853,0.505926,0.505926,0.505928,0.000000,0.505926,2
baseline,12648460,104,27,640,886,246,0.048993,0.048993,0.048992,0.000127,0.048993,0.524477,0.524477,0.524476,0.000669,0.524477,2
baseline,12648460,107,14,651,892,241,0.108409,0.108409,0.108408,0.000195,0.108409,0.552494,0.552494,0.552492,0.001381,0.552494,2
baseline,12648460,116,3,702,895,193,0.033258,0.033258,0.033258,0.000000,0.033258,0.516622,0.516622,0.516623,0.000000,0.516622,1
baseline,12648460,117,5,706,897,191,0.000387,0.000387,0.000387,0.000000,0.000387,0.500193,0.500193,0.500193,0.000863,0.500193,2
baseline,12648460,114,2,671,904,233,0.033774,0.033774,0.033774,0.000000,0.033774,0.516879,0.516879,0.516878,0.000646,0.516879,2
baseline,12648460,113,7,669,919,250,0.049734,0.049734,0.049734,0.000073,0.049734,0.524844,0.524844,0.524843,0.001315,0.524844,3
baseline,12648460,115,9,675,922,247,0.000009,0.000009,0.000009,0.000000,0.000009,0.500004,0.500004,0.500006,0.000000,0.500004,2
baseline,12648460,112,26,668,924,256,0.045571,0.045571,0.045571,0.000061,0.045571,0.522756,0.522756,0.522757,0.000000,0.522756,2
baseline,12648460,121,31,730,925,195,0.025637,0.025637,0.025637,0.000047,0.025637,0.512815,0.512815,0.512815,0.000000,0.512815,1
baseline,12648460,119,25,717,931,214,0.083553,0.083553,0.083553,0.000000,0.083553,0.541529,0.541529,0.541528,0.001050,0.541529,2
baseline,12648460,122,6,734,931,197,0.058090,0.058090,0.058090,0.000121,0.058090,0.528987,0.528987,0.528986,0.000961,0.528987,1
baseline,12648460,118,29,715,936,221,0.003160,0.003160,0.003160,0.000003,0.003160,0.501580,0.501580,0.501579,0.000992,0.501580,1
baseline,12648460,110,10,664,940,276,0.292699,0.292699,0.292699,0.000000,0.292699,0.640178,0.640178,0.640178,0.000000,0.640178,3
baseline,12648460,124,23,739,946,207,0.006474,0.006474,0.006474,0.000000,0.006474,0.503237,0.503237,0.503237,0.000244,0.503237,2
baseline,12648460,126,12,752,953,201,0.001775,0.001775,0.001775,0.000004,0.001775,0.500888,0.500888,0.500887,0.000992,0.500888,1
baseline,12648460,123,20,738,958,220,0.000002,0.000002,0.000002,0.000000,0.000002,0.500001,0.500001,0.500000,0.000386,0.500001,1
baseline,12648460,125,4,743,958,215,0.020606,0.020606,0.020606,0.000000,0.020606,0.510299,0.510300,0.510300,0.000000,0.510299,2
baseline,12648460,120,28,721,969,248,0.034480,0.034480,0.034480,0.000000,0.034480,0.517233,0.517233,0.517233,0.000000,0.517233,2
