life_id,agent_id,birth_step,death_step,lifetime_steps,c_level01_birth,c_level01_firstk,avg_c_level01_tick,c_level01_std_over_life,avg_c_level01_attack,attack_tick_count
118,14,1128,1454,326,0.533079,0.533079,0.533080,0.000000,0.533079,3
109,21,1070,1456,386,0.518775,0.518775,0.518773,0.001245,0.518775,4
110,15,1077,1459,382,0.523751,0.523751,0.523753,0.000000,0.523751,3
114,22,1111,1478,367,0.521202,0.521202,0.521200,0.001769,0.521202,4
115,2,1113,1485,372,0.506637,0.506637,0.506638,0.000000,0.506637,4
116,5,1118,1488,370,0.526942,0.526942,0.526943,0.000000,0.526942,3
122,8,1167,1492,325,0.522964,0.522964,0.522964,0.000000,0.522964,3
123,13,1194,1516,322,0.520457,0.520457,0.520457,0.000000,0.520457,3
119,1,1129,1524,395,0.593824,0.593824,0.593826,0.000000,0.593824,3
113,0,1107,1532,425,0.509770,0.509770,0.509769,0.000646,0.509770,4
117,29,1118,1535,417,0.514128,0.514128,0.514129,0.000000,0.514128,4
99,6,994,1541,547,0.679443,0.679443,0.679443,0.000000,0.679443,6
124,27,1201,1560,359,0.500000,0.500000,0.500000,0.000000,0.500000,4
120,19,1132,1574,442,0.549630,0.549630,0.549633,0.000000,0.549630,4
121,3,1160,1581,421,0.538659,0.538658,0.538661,0.000000,0.538659,5
125,23,1259,1587,328,0.540035,0.540035,0.540038,0.000000,0.540035,3
128,24,1329,1652,323,0.525250,0.525250,0.525252,0.000000,0.525250,3
126,30,1281,1673,392,0.535140,0.535139,0.535141,0.000000,0.535140,4
130,28,1364,1680,316,0.500000,0.500000,0.500000,0.000000,0.500000,3
83,4,739,1699,960,0.864067,0.864067,0.864074,0.000000,0.864067,9
129,16,1344,1704,360,0.500012,0.500012,0.500014,0.000000,0.500012,3
132,11,1386,1708,322,0.519804,0.519804,0.519806,0.000000,0.519804,3
133,20,1387,1713,326,0.500002,0.500002,0.500001,0.001050,0.500002,3
134,26,1394,1727,333,0.559382,0.559382,0.559383,0.000546,0.559382,3
131,9,1376,1741,365,0.515520,0.515520,0.515519,0.001348,0.515520,3
138,31,1416,1742,326,0.533669,0.533669,0.533671,0.000000,0.533669,2
135,25,1395,1761,366,0.516632,0.516632,0.516632,0.000000,0.516632,4
137,10,1409,1769,360,0.502022,0.502022,0.502020,0.001769,0.502022,4
136,18,1405,1775,370,0.500003,0.500003,0.500001,0.001105,0.500003,3
142,15,1460,1784,324,0.527198,0.527198,0.527197,0.001370,0.527198,3
127,17,1319,1785,466,0.635625,0.635625,0.635623,0.002197,0.635625,4
143,22,1479,1802,323,0.525232,0.525231,0.525233,0.000000,0.525232,3
146,8,1493,1814,321,0.516452,0.516452,0.516450,0.001582,0.516452,3
141,21,1457,1823,366,0.500000,0.500000,0.500000,0.000000,0.500000,3
140,14,1455,1824,369,0.526030,0.526030,0.526031,0.000173,0.526030,4
147,13,1517,1844,327,0.539159,0.539159,0.539158,0.001119,0.539159,2
139,7,1416,1855,439,0.540450,0.540450,0.540451,0.000000,0.540450,5
150,29,1536,1861,325,0.531229,0.531229,0.531229,0.000000,0.531229,3
151,6,1542,1870,328,0.540530,0.540530,0.540528,0.001485,0.540530,3
145,5,1489,1879,390,0.558762,0.558762,0.558762,0.001158,0.558762,3
152,27,1561,1890,329,0.500668,0.500668,0.500670,0.000000,0.500668,2
148,1,1525,1897,372,0.510534,0.510534,0.510533,0.000000,0.510534,3
155,23,1588,1911,323,0.517132,0.517132,0.517131,0.000897,0.517132,3
144,2,1486,1914,428,0.520891,0.520891,0.520890,0.000423,0.520891,5
153,19,1575,1914,339,0.545834,0.545834,0.545836,0.000000,0.545834,3
154,3,1582,1948,366,0.516414,0.516414,0.516415,0.000913,0.516414,4
149,0,1533,1959,426,0.549378,0.549378,0.549378,0.001184,0.549378,4
108,12,1063,1972,909,0.809840,0.809840,0.809835,0.003275,0.809840,7
158,28,1681,2006,325,0.531687,0.531687,0.531687,0.000423,0.531687,2
164,9,1742,2017,275,0.506765,0.506765,0.506765,0.000000,0.506765,2
160,16,1705,2028,323,0.524033,0.524033,0.524033,0.000345,0.524033,3
163,26,1728,2053,325,0.530762,0.530762,0.530762,0.000000,0.530762,3
162,20,1714,2056,342,0.575951,0.575952,0.575953,0.000000,0.575951,2
157,30,1674,2062,388,0.526031,0.526031,0.526031,0.000946,0.526031,4
165,31,1743,2063,320,0.509290,0.509290,0.509291,0.000000,0.509290,3
159,4,1700,2072,372,0.532022,0.532022,0.532024,0.000000,0.532022,4
156,24,1653,2086,433,0.528785,0.528785,0.528782,0.001050,0.528785,5
161,11,1709,2087,378,0.509582,0.509582,0.509582,0.000000,0.509582,4
172,8,1815,2131,316,0.500000,0.500000,0.500000,0.000000,0.500000,3
176,7,1856,2134,278,0.527292,0.527292,0.527292,0.000930,0.527292,2
168,18,1776,2143,367,0.519545,0.519545,0.519546,0.000000,0.519545,3
173,21,1824,2154,330,0.548812,0.548813,0.548813,0.000000,0.548812,3
170,17,1786,2156,370,0.528887,0.528887,0.528886,0.001392,0.528887,4
169,15,1785,2163,378,0.523378,0.523378,0.523377,0.001434,0.523378,4
171,22,1803,2174,371,0.526259,0.526259,0.526260,0.000000,0.526259,4
166,25,1762,2182,420,0.500732,0.500732,0.500732,0.000000,0.500732,5
177,29,1862,2188,326,0.513071,0.513071,0.513071,0.000386,0.513071,2
167,10,1770,2192,422,0.540382,0.540382,0.540379,0.002013,0.540382,5
181,1,1898,2220,322,0.520837,0.520837,0.520838,0.000000,0.520837,3
174,14,1825,2221,396,0.585209,0.585209,0.585208,0.000000,0.585209,4
175,13,1845,2223,378,0.500017,0.500017,0.500016,0.000573,0.500017,4
184,19,1915,2240,325,0.530637,0.530637,0.530639,0.000000,0.530637,3
182,23,1912,2241,329,0.506910,0.506910,0.506911,0.000000,0.506910,2
178,6,1871,2250,379,0.540165,0.540165,0.540162,0.001786,0.540165,4
180,27,1891,2254,363,0.509332,0.509332,0.509333,0.000000,0.509332,3
183,2,1915,2281,366,0.517344,0.517344,0.517345,0.000423,0.517344,4
185,3,1949,2286,337,0.572101,0.572101,0.572099,0.001802,0.572101,3
186,0,1960,2286,326,0.500000,0.500000,0.500000,0.000000,0.500000,3
188,28,2007,2326,319,0.508828,0.508828,0.508829,0.000000,0.508828,3
193,30,2063,2343,280,0.537699,0.537699,0.537699,0.000457,0.537699,2
191,26,2054,2385,331,0.511613,0.511613,0.511612,0.001315,0.511613,2
190,16,2029,2395,366,0.517327,0.517326,0.517329,0.000000,0.517327,2
189,9,2018,2398,380,0.515498,0.515498,0.515499,0.000000,0.515498,4
196,24,2087,2409,322,0.519036,0.519036,0.519037,0.000000,0.519036,3
192,20,2057,2424,367,0.521168,0.521169,0.521168,0.000299,0.521168,4
194,31,2064,2441,377,0.526140,0.526140,0.526139,0.001402,0.526140,3
195,4,2073,2458,385,0.515011,0.515011,0.515013,0.000000,0.515011,4
197,11,2088,2460,372,0.532178,0.532178,0.532180,0.000000,0.532178,4
202,17,2157,2476,319,0.510707,0.510707,0.510707,0.000000,0.510707,3
201,21,2155,2481,326,0.532628,0.532628,0.532628,0.000000,0.532628,3
203,15,2164,2484,320,0.511419,0.511419,0.511419,0.000880,0.511419,3
187,12,1973,2494,521,0.752089,0.752089,0.752085,0.002960,0.752089,4
